Course,Theory Equivalent,Lab Equivalent, Theory Initial,Theory Day,"""Theory Time (1hr 20min)""", Theory Room, Lab Initial,Lab Day,Lab Time (3hr), Lab Room
CSE110-27,,,SDW,SAT+THU,11:00 AM,09H-36C,"NFK,MZG",WED,2:00 PM,09E-21L
CSE110-28,,,SDW,SAT+THU,12:30 PM,09H-36C,"SBHN,SARF",WED,8:00 AM,09E-22L
CSE110-29,,,MAU,SAT+THU,2:00 PM,09H-36C,"HFN,KBS",WED,11:00 AM,09B-08L
CSE110-31,,,DFD,SUN+TUE,3:30 PM,09A-07C,"SSMT,KHC",WED,2:00 PM,09B-11L
CSE110-32,,,AOH,SUN+TUE,2:00 PM,08H-22C,"AAF,NTB",THU,11:00 AM,12F-32L
CSE111-01,,,AVB,MON+WED,8:00 AM,09H-33C,"SBHN,ADD",TUE,8:00 AM,09F-24L
CSE111-02,,,AVB,MON+WED,9:30 AM,09H-33C,"KNI,MAU",TUE,2:00 PM,09F-24L
CSE111-03,,,KNI,MON+WED,2:00 PM,09H-32C,"SBB,TMD",TUE,2:00 PM,09F-26L
CSE111-04,,,KNI,MON+WED,3:30 PM,09H-32C,"ANK,QAR",TUE,11:00 AM,09F-27L
CSE111-05,,,SBB,SUN+TUE,9:30 AM,09B-12C,"AFA,NSQ",WED,8:00 AM,09F-25L
CSE111-06,,,SBB,SUN+TUE,11:00 AM,09B-12C,"TMD,AOH",WED,2:00 PM,09E-22L
CSE111-07,,,FEK,MON+WED,2:00 PM,09D-18C,"FGZ,ANT",TUE,11:00 AM,09F-26L
CSE111-09,,,FEK,SUN+TUE,2:00 PM,09B-12C,"ADD,MNRS",WED,8:00 AM,09F-27L
CSE111-10,,,ADU,MON+WED,12:30 PM,09C-13C,"HAS,RHS",TUE,8:00 AM,09B-08L
CSE111-11,,,ADU,MON+WED,9:30 AM,07H-27C,"AFA,QAR",TUE,8:00 AM,09F-26L
CSE111-12,,,ANK,SUN+TUE,8:00 AM,09A-07C,"KHC,SSMT",WED,8:00 AM,09F-24L
CSE111-13,,,ANK,SUN+TUE,9:30 AM,09A-07C,"MAU,RAK",WED,2:00 PM,09F-24L
CSE111-14,,,ANK,MON+WED,9:30 AM,09A-06C,"AIB,NFK",TUE,11:00 AM,09F-24L
CSE111-15,,,AIB,SAT+THU,12:30 PM,10A-05C,"AVB,RAK",TUE,11:00 AM,10G-34L
CSE111-16,,,AIB,SUN+TUE,8:00 AM,09D-17C,"FGZ,FEK",WED,11:00 AM,09F-24L
CSE111-17,,,TMD,SUN+TUE,11:00 AM,07F-22C,"SBB,MAU",WED,11:00 AM,09E-22L
CSE111-18,,,TMD,SUN+TUE,12:30 PM,07F-22C,"AVB,ART",WED,11:00 AM,09F-26L
CSE111-19,,,TAW,SUN+TUE,11:00 AM,10A-09C,"TAW,ADU",WED,2:00 PM,12F-31L
CSE111-20,,,TAW,SUN+TUE,12:30 PM,10A-09C,"ANT,ART",WED,2:00 PM,09F-26L
CSE111-21,,,TAW,MON+WED,12:30 PM,10A-09C,"TAW,RHS",THU,11:00 AM,12F-31L
