.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6578.15it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 4731.03it/s]
[open_ended/linear] Q070: 6.08s gen, 0.026s retrieval, 0.141s rerank
[open_ended/linear] Q071: 8.38s gen, 0.033s retrieval, 0.398s rerank
[open_ended/linear] Q072: 11.62s gen, 0.024s retrieval, 0.120s rerank
[open_ended/linear] Q073: 17.10s gen, 0.027s retrieval, 0.290s rerank
[open_ended/linear] Q074: 4.72s gen, 0.021s retrieval, 0.082s rerank
[open_ended/linear] Q075: 6.18s gen, 0.021s retrieval, 0.116s rerank
[open_ended/linear] Q076: 7.66s gen, 0.025s retrieval, 0.100s rerank
[open_ended/linear] Q077: 4.33s gen, 0.023s retrieval, 0.345s rerank
[open_ended/linear] Q078: 5.25s gen, 0.026s retrieval, 0.090s rerank
[open_ended/linear] Q079: 5.86s gen, 0.023s retrieval, 0.073s rerank
[open_ended/linear] Q080: 7.87s gen, 0.019s retrieval, 0.104s rerank
[open_ended/linear] Q081: 0.00s gen, 0.019s retrieval, 0.287s rerank [ABSTAINED]
[open_ended/linear] Q082: 6.41s gen, 0.020s retrieval, 0.108s rerank
[open_ended/linear] Q083: 7.14s gen, 0.026s retrieval, 0.102s rerank
[open_ended/linear] Q084: 6.05s gen, 0.028s retrieval, 0.137s rerank
[open_ended/linear] Q085: 8.41s gen, 0.027s retrieval, 0.127s rerank
[open_ended/linear] Q086: 7.30s gen, 0.021s retrieval, 0.157s rerank
[open_ended/linear] Q087: 8.60s gen, 0.026s retrieval, 0.101s rerank
[open_ended/linear] Q088: 6.89s gen, 0.020s retrieval, 0.445s rerank
[open_ended/linear] Q089: 6.09s gen, 0.022s retrieval, 0.076s rerank
[open_ended/linear] Q090: 7.49s gen, 0.030s retrieval, 0.374s rerank
[open_ended/linear] Q091: 6.52s gen, 0.023s retrieval, 0.095s rerank
[open_ended/linear] Q092: 8.09s gen, 0.024s retrieval, 0.100s rerank
[open_ended/linear] Q093: 10.20s gen, 0.024s retrieval, 0.165s rerank
[open_ended/linear] Q094: 5.98s gen, 0.024s retrieval, 0.104s rerank
[open_ended/linear] Q095: 5.11s gen, 0.023s retrieval, 0.106s rerank
[open_ended/linear] Q096: 4.84s gen, 0.024s retrieval, 0.072s rerank
[open_ended/linear] Q097: 8.64s gen, 0.020s retrieval, 0.107s rerank
[open_ended/linear] Q098: 7.11s gen, 0.023s retrieval, 0.100s rerank
[open_ended/linear] Q099: 8.10s gen, 0.022s retrieval, 0.115s rerank
[open_ended/linear] Q100: 6.91s gen, 0.023s retrieval, 0.182s rerank
[entity_heavy/rrf] Q101: 4.69s gen, 0.022s retrieval, 0.148s rerank
[entity_heavy/rrf] Q102: 4.35s gen, 0.017s retrieval, 0.140s rerank
[entity_heavy/rrf] Q103: 4.03s gen, 0.016s retrieval, 0.138s rerank
[entity_heavy/rrf] Q104: 4.37s gen, 0.015s retrieval, 0.142s rerank
[entity_heavy/rrf] Q105: 3.79s gen, 0.022s retrieval, 0.056s rerank
