.\.venv\Scripts\python.exe : 
At line:4 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --queries data\tes ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[full_hybrid] BQ095: 5.53s gen, 0.025s retrieval
[full_hybrid] BQ096: 7.43s gen, 0.025s retrieval
[full_hybrid] BQ097: 7.14s gen, 0.033s retrieval
[full_hybrid] BQ098: 11.21s gen, 0.031s retrieval
[full_hybrid] BQ099: 6.66s gen, 0.024s retrieval
[full_hybrid] BQ100: 7.50s gen, 0.034s retrieval
[bm25_only] BQ001: 15.29s gen, 0.029s retrieval
[bm25_only] BQ002: 4.04s gen, 0.035s retrieval
[bm25_only] BQ003: 5.77s gen, 0.030s retrieval
[bm25_only] BQ004: 3.81s gen, 0.022s retrieval
[bm25_only] BQ005: 5.43s gen, 0.027s retrieval
[bm25_only] BQ006: 13.57s gen, 0.028s retrieval
[bm25_only] BQ007: 5.46s gen, 0.018s retrieval
[bm25_only] BQ008: 5.01s gen, 0.022s retrieval
[bm25_only] BQ009: 4.08s gen, 0.030s retrieval
[bm25_only] BQ010: 5.86s gen, 0.024s retrieval
[bm25_only] BQ011: 5.37s gen, 0.025s retrieval
[bm25_only] BQ012: 12.93s gen, 0.025s retrieval
[bm25_only] BQ013: 10.32s gen, 0.029s retrieval
[bm25_only] BQ014: 8.90s gen, 0.019s retrieval
[bm25_only] BQ015: 5.47s gen, 0.032s retrieval
[bm25_only] BQ016: 7.50s gen, 0.018s retrieval
[bm25_only] BQ017: 8.15s gen, 0.024s retrieval
[bm25_only] BQ018: 4.22s gen, 0.022s retrieval
[bm25_only] BQ019: 3.96s gen, 0.032s retrieval
[bm25_only] BQ020: 5.45s gen, 0.028s retrieval
[bm25_only] BQ021: 5.29s gen, 0.028s retrieval
[bm25_only] BQ022: 6.50s gen, 0.029s retrieval
[bm25_only] BQ023: 6.09s gen, 0.026s retrieval
[bm25_only] BQ024: 4.89s gen, 0.030s retrieval
[bm25_only] BQ025: 5.43s gen, 0.034s retrieval
[bm25_only] BQ026: 7.93s gen, 0.028s retrieval
[bm25_only] BQ027: 9.49s gen, 0.031s retrieval
[bm25_only] BQ028: 4.19s gen, 0.022s retrieval
[bm25_only] BQ029: 8.89s gen, 0.031s retrieval
[bm25_only] BQ030: 4.77s gen, 0.022s retrieval
[bm25_only] BQ031: 10.08s gen, 0.022s retrieval
[bm25_only] BQ032: 3.83s gen, 0.022s retrieval
[bm25_only] BQ033: 4.07s gen, 0.024s retrieval
[bm25_only] BQ034: 9.42s gen, 0.022s retrieval
[bm25_only] BQ035: 6.61s gen, 0.020s retrieval
[bm25_only] BQ036: 5.38s gen, 0.021s retrieval
[bm25_only] BQ037: 5.47s gen, 0.021s retrieval
[bm25_only] BQ038: 5.11s gen, 0.040s retrieval
[bm25_only] BQ039: 4.30s gen, 0.024s retrieval
[bm25_only] BQ040: 9.18s gen, 0.033s retrieval
[bm25_only] BQ041: 10.00s gen, 0.022s retrieval
[bm25_only] BQ042: 6.33s gen, 0.023s retrieval
[bm25_only] BQ043: 4.75s gen, 0.024s retrieval
[bm25_only] BQ044: 7.88s gen, 0.032s retrieval
[bm25_only] BQ045: 4.45s gen, 0.031s retrieval
[bm25_only] BQ046: 15.19s gen, 0.026s retrieval
[bm25_only] BQ047: 10.67s gen, 0.025s retrieval
[bm25_only] BQ048: 8.93s gen, 0.026s retrieval
[bm25_only] BQ049: 6.85s gen, 0.023s retrieval
[bm25_only] BQ050: 4.85s gen, 0.021s retrieval
[bm25_only] BQ051: 7.01s gen, 0.024s retrieval
[bm25_only] BQ052: 5.32s gen, 0.026s retrieval
[bm25_only] BQ053: 9.16s gen, 0.032s retrieval
[bm25_only] BQ054: 12.49s gen, 0.030s retrieval
[bm25_only] BQ055: 13.43s gen, 0.024s retrieval
[bm25_only] BQ056: 6.29s gen, 0.036s retrieval
[bm25_only] BQ057: 6.99s gen, 0.032s retrieval
[bm25_only] BQ058: 4.31s gen, 0.027s retrieval
[bm25_only] BQ059: 10.44s gen, 0.031s retrieval
[bm25_only] BQ060: 16.45s gen, 0.028s retrieval
[bm25_only] BQ061: 6.40s gen, 0.028s retrieval
[bm25_only] BQ062: 7.14s gen, 0.028s retrieval
[bm25_only] BQ063: 6.66s gen, 0.021s retrieval
[bm25_only] BQ064: 6.18s gen, 0.025s retrieval
[bm25_only] BQ065: 12.88s gen, 0.026s retrieval
[bm25_only] BQ066: 11.03s gen, 0.031s retrieval
[bm25_only] BQ067: 9.91s gen, 0.027s retrieval
[bm25_only] BQ068: 4.97s gen, 0.027s retrieval
[bm25_only] BQ069: 8.95s gen, 0.023s retrieval
[bm25_only] BQ070: 19.50s gen, 0.026s retrieval
[bm25_only] BQ071: 10.08s gen, 0.031s retrieval
[bm25_only] BQ072: 6.83s gen, 0.020s retrieval
[bm25_only] BQ073: 11.79s gen, 0.025s retrieval
[bm25_only] BQ074: 6.69s gen, 0.025s retrieval
[bm25_only] BQ075: 6.35s gen, 0.024s retrieval
[bm25_only] BQ076: 8.27s gen, 0.026s retrieval
[bm25_only] BQ077: 9.24s gen, 0.032s retrieval
[bm25_only] BQ078: 6.63s gen, 0.031s retrieval
[bm25_only] BQ079: 6.73s gen, 0.024s retrieval
[bm25_only] BQ080: 8.54s gen, 0.027s retrieval
[bm25_only] BQ081: 6.38s gen, 0.025s retrieval
[bm25_only] BQ082: 5.92s gen, 0.028s retrieval
[bm25_only] BQ083: 3.84s gen, 0.023s retrieval
[bm25_only] BQ084: 6.20s gen, 0.025s retrieval
[bm25_only] BQ085: 8.44s gen, 0.031s retrieval
[bm25_only] BQ086: 4.42s gen, 0.026s retrieval
[bm25_only] BQ087: 8.81s gen, 0.034s retrieval
[bm25_only] BQ088: 10.61s gen, 0.025s retrieval
