.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[full_hybrid] Q096: 4.79s gen, 0.021s retrieval
[full_hybrid] Q097: 8.61s gen, 0.020s retrieval
[full_hybrid] Q098: 6.86s gen, 0.022s retrieval
[full_hybrid] Q099: 8.07s gen, 0.021s retrieval
[full_hybrid] Q100: 7.09s gen, 0.023s retrieval
[full_hybrid] Q101: 4.33s gen, 0.018s retrieval
[full_hybrid] Q102: 4.05s gen, 0.017s retrieval
[full_hybrid] Q103: 4.04s gen, 0.018s retrieval
[full_hybrid] Q104: 4.09s gen, 0.016s retrieval
[full_hybrid] Q105: 3.73s gen, 0.020s retrieval
[full_hybrid] Q106: 3.95s gen, 0.017s retrieval
[full_hybrid] Q107: 4.99s gen, 0.019s retrieval
[full_hybrid] Q108: 4.25s gen, 0.017s retrieval
[full_hybrid] Q109: 3.68s gen, 0.018s retrieval
[full_hybrid] Q110: 4.60s gen, 0.020s retrieval
[full_hybrid] Q111: 5.24s gen, 0.016s retrieval
[full_hybrid] Q112: 6.19s gen, 0.017s retrieval
[full_hybrid] Q113: 3.76s gen, 0.018s retrieval
[full_hybrid] Q114: 6.21s gen, 0.017s retrieval
[full_hybrid] Q115: 4.68s gen, 0.017s retrieval
[full_hybrid] Q116: 5.02s gen, 0.016s retrieval
[full_hybrid] Q117: 4.01s gen, 0.016s retrieval
[full_hybrid] Q118: 4.54s gen, 0.017s retrieval
[full_hybrid] Q119: 3.95s gen, 0.016s retrieval
[full_hybrid] Q120: 5.58s gen, 0.019s retrieval
[full_hybrid] Q121: 5.11s gen, 0.022s retrieval
[full_hybrid] Q122: 4.16s gen, 0.021s retrieval
[full_hybrid] Q123: 4.97s gen, 0.017s retrieval
[full_hybrid] Q124: 4.25s gen, 0.019s retrieval
[full_hybrid] Q125: 4.28s gen, 0.016s retrieval
[full_hybrid] Q126: 3.96s gen, 0.016s retrieval
[full_hybrid] Q127: 4.47s gen, 0.019s retrieval
[full_hybrid] Q128: 4.05s gen, 0.017s retrieval
[full_hybrid] Q129: 4.02s gen, 0.019s retrieval
[full_hybrid] Q130: 5.56s gen, 0.019s retrieval
[full_hybrid] Q131: 4.02s gen, 0.018s retrieval
[full_hybrid] Q132: 4.04s gen, 0.017s retrieval
[full_hybrid] Q133: 3.99s gen, 0.017s retrieval
[full_hybrid] Q134: 3.93s gen, 0.016s retrieval
[full_hybrid] Q135: 5.62s gen, 0.017s retrieval
[full_hybrid] Q136: 3.97s gen, 0.017s retrieval
[full_hybrid] Q137: 5.53s gen, 0.017s retrieval
[full_hybrid] Q138: 4.68s gen, 0.017s retrieval
[full_hybrid] Q139: 3.89s gen, 0.017s retrieval
[full_hybrid] Q140: 4.13s gen, 0.016s retrieval
[full_hybrid] Q141: 7.07s gen, 0.018s retrieval
[full_hybrid] Q142: 3.83s gen, 0.017s retrieval
[full_hybrid] Q143: 6.43s gen, 0.017s retrieval
[full_hybrid] Q144: 5.98s gen, 0.017s retrieval
[full_hybrid] Q145: 8.22s gen, 0.017s retrieval
[full_hybrid] Q146: 4.22s gen, 0.017s retrieval
[full_hybrid] Q147: 4.82s gen, 0.016s retrieval
[full_hybrid] Q148: 3.79s gen, 0.016s retrieval
[full_hybrid] Q149: 4.79s gen, 0.018s retrieval
[full_hybrid] Q150: 4.94s gen, 0.018s retrieval
[full_hybrid] Q151: 5.08s gen, 0.022s retrieval
[full_hybrid] Q152: 7.60s gen, 0.021s retrieval
[full_hybrid] Q153: 5.43s gen, 0.021s retrieval
[full_hybrid] Q154: 4.80s gen, 0.022s retrieval
[full_hybrid] Q155: 4.97s gen, 0.022s retrieval
[full_hybrid] Q156: 4.90s gen, 0.021s retrieval
[full_hybrid] Q157: 5.51s gen, 0.022s retrieval
[full_hybrid] Q158: 4.81s gen, 0.023s retrieval
[full_hybrid] Q159: 4.97s gen, 0.022s retrieval
[full_hybrid] Q160: 4.89s gen, 0.022s retrieval
[full_hybrid] Q161: 4.66s gen, 0.022s retrieval
[full_hybrid] Q162: 4.88s gen, 0.022s retrieval
[full_hybrid] Q163: 4.90s gen, 0.022s retrieval
[full_hybrid] Q164: 4.95s gen, 0.022s retrieval
[full_hybrid] Q165: 5.05s gen, 0.021s retrieval
[full_hybrid] Q166: 4.45s gen, 0.019s retrieval
[full_hybrid] Q167: 4.94s gen, 0.019s retrieval
[full_hybrid] Q168: 9.74s gen, 0.020s retrieval
[full_hybrid] Q169: 4.44s gen, 0.020s retrieval
[full_hybrid] Q170: 5.86s gen, 0.020s retrieval
[full_hybrid] Q171: 5.01s gen, 0.020s retrieval
[full_hybrid] Q172: 4.31s gen, 0.021s retrieval
[full_hybrid] Q173: 4.72s gen, 0.019s retrieval
[full_hybrid] Q174: 4.52s gen, 0.020s retrieval
[full_hybrid] Q175: 4.51s gen, 0.020s retrieval
[full_hybrid] Q176: 5.02s gen, 0.019s retrieval
[full_hybrid] Q177: 4.77s gen, 0.019s retrieval
[full_hybrid] Q178: 5.74s gen, 0.021s retrieval
[full_hybrid] Q179: 4.61s gen, 0.019s retrieval
[full_hybrid] Q180: 4.68s gen, 0.020s retrieval
[full_hybrid] Q181: 4.23s gen, 0.017s retrieval
[full_hybrid] Q182: 5.23s gen, 0.023s retrieval
[full_hybrid] Q183: 4.57s gen, 0.020s retrieval
[full_hybrid] Q184: 5.29s gen, 0.020s retrieval
[full_hybrid] Q185: 5.08s gen, 0.019s retrieval
[full_hybrid] Q186: 3.63s gen, 0.016s retrieval
[full_hybrid] Q187: 3.73s gen, 0.015s retrieval
[full_hybrid] Q188: 4.23s gen, 0.021s retrieval
[full_hybrid] Q189: 5.66s gen, 0.022s retrieval
[full_hybrid] Q190: 5.45s gen, 0.022s retrieval
[full_hybrid] Q191: 4.43s gen, 0.015s retrieval
[full_hybrid] Q192: 4.29s gen, 0.015s retrieval
[full_hybrid] Q193: 4.84s gen, 0.019s retrieval
[full_hybrid] Q194: 4.13s gen, 0.017s retrieval
[full_hybrid] Q195: 4.39s gen, 0.019s retrieval
[full_hybrid] Q196: 4.74s gen, 0.019s retrieval
[full_hybrid] Q197: 4.65s gen, 0.016s retrieval
[full_hybrid] Q198: 4.81s gen, 0.021s retrieval
[full_hybrid] Q199: 5.23s gen, 0.018s retrieval
[full_hybrid] Q200: 4.50s gen, 0.018s retrieval
[bm25_only] Q001: 10.84s gen, 0.018s retrieval
[bm25_only] Q002: 6.32s gen, 0.026s retrieval
[bm25_only] Q003: 8.80s gen, 0.018s retrieval
[bm25_only] Q004: 4.67s gen, 0.024s retrieval
[bm25_only] Q005: 8.26s gen, 0.023s retrieval
[bm25_only] Q006: 5.10s gen, 0.015s retrieval
[bm25_only] Q007: 11.45s gen, 0.022s retrieval
[bm25_only] Q008: 4.09s gen, 0.023s retrieval
[bm25_only] Q009: 3.74s gen, 0.016s retrieval
[bm25_only] Q010: 4.71s gen, 0.022s retrieval
[bm25_only] Q011: 7.38s gen, 0.024s retrieval
[bm25_only] Q012: 4.78s gen, 0.021s retrieval
[bm25_only] Q013: 6.30s gen, 0.021s retrieval
[bm25_only] Q014: 8.70s gen, 0.020s retrieval
[bm25_only] Q015: 5.19s gen, 0.022s retrieval
[bm25_only] Q016: 11.43s gen, 0.021s retrieval
[bm25_only] Q017: 8.62s gen, 0.019s retrieval
[bm25_only] Q018: 4.15s gen, 0.022s retrieval
[bm25_only] Q019: 3.88s gen, 0.019s retrieval
[bm25_only] Q020: 3.59s gen, 0.019s retrieval
[bm25_only] Q021: 9.03s gen, 0.023s retrieval
[bm25_only] Q022: 6.10s gen, 0.022s retrieval
[bm25_only] Q023: 10.24s gen, 0.031s retrieval
[bm25_only] Q024: 8.58s gen, 0.027s retrieval
[bm25_only] Q025: 9.05s gen, 0.023s retrieval
[bm25_only] Q026: 6.44s gen, 0.021s retrieval
[bm25_only] Q027: 8.60s gen, 0.020s retrieval
[bm25_only] Q028: 4.00s gen, 0.017s retrieval
[bm25_only] Q029: 11.31s gen, 0.022s retrieval
[bm25_only] Q030: 4.66s gen, 0.022s retrieval
[bm25_only] Q031: 17.80s gen, 0.027s retrieval
[bm25_only] Q032: 4.05s gen, 0.018s retrieval
[bm25_only] Q033: 11.69s gen, 0.021s retrieval
[bm25_only] Q034: 7.46s gen, 0.023s retrieval
[bm25_only] Q035: 7.19s gen, 0.018s retrieval
[bm25_only] Q036: 4.24s gen, 0.019s retrieval
[bm25_only] Q037: 8.52s gen, 0.020s retrieval
[bm25_only] Q038: 6.15s gen, 0.021s retrieval
[bm25_only] Q039: 5.27s gen, 0.021s retrieval
[bm25_only] Q040: 5.53s gen, 0.023s retrieval
[bm25_only] Q041: 9.07s gen, 0.022s retrieval
[bm25_only] Q042: 5.69s gen, 0.021s retrieval
[bm25_only] Q043: 6.16s gen, 0.020s retrieval
[bm25_only] Q044: 4.08s gen, 0.023s retrieval
[bm25_only] Q045: 7.51s gen, 0.016s retrieval
[bm25_only] Q046: 6.03s gen, 0.017s retrieval
[bm25_only] Q047: 12.76s gen, 0.026s retrieval
[bm25_only] Q048: 19.94s gen, 0.023s retrieval
[bm25_only] Q049: 6.25s gen, 0.025s retrieval
[bm25_only] Q050: 6.66s gen, 0.032s retrieval
[bm25_only] Q051: 8.45s gen, 0.022s retrieval
[bm25_only] Q052: 5.32s gen, 0.024s retrieval
[bm25_only] Q053: 4.03s gen, 0.024s retrieval
[bm25_only] Q054: 6.01s gen, 0.021s retrieval
[bm25_only] Q055: 4.91s gen, 0.021s retrieval
[bm25_only] Q056: 6.01s gen, 0.022s retrieval
[bm25_only] Q057: 4.61s gen, 0.020s retrieval
[bm25_only] Q058: 4.37s gen, 0.026s retrieval
[bm25_only] Q059: 18.62s gen, 0.028s retrieval
[bm25_only] Q060: 14.84s gen, 0.026s retrieval
[bm25_only] Q061: 6.95s gen, 0.019s retrieval
[bm25_only] Q062: 8.83s gen, 0.023s retrieval
[bm25_only] Q063: 6.84s gen, 0.024s retrieval
[bm25_only] Q064: 7.28s gen, 0.023s retrieval
[bm25_only] Q065: 4.03s gen, 0.023s retrieval
[bm25_only] Q066: 7.94s gen, 0.019s retrieval
[bm25_only] Q067: 10.00s gen, 0.024s retrieval
[bm25_only] Q068: 4.80s gen, 0.019s retrieval
[bm25_only] Q069: 9.03s gen, 0.021s retrieval
[bm25_only] Q070: 6.09s gen, 0.025s retrieval
[bm25_only] Q071: 7.29s gen, 0.033s retrieval
[bm25_only] Q072: 11.47s gen, 0.022s retrieval
[bm25_only] Q073: 12.70s gen, 0.024s retrieval
[bm25_only] Q074: 4.77s gen, 0.026s retrieval
[bm25_only] Q075: 6.37s gen, 0.021s retrieval
[bm25_only] Q076: 7.86s gen, 0.020s retrieval
[bm25_only] Q077: 3.61s gen, 0.028s retrieval
[bm25_only] Q078: 5.14s gen, 0.024s retrieval
[bm25_only] Q079: 5.68s gen, 0.023s retrieval
[bm25_only] Q080: 7.95s gen, 0.020s retrieval
[bm25_only] Q081: 5.54s gen, 0.017s retrieval
[bm25_only] Q082: 6.24s gen, 0.022s retrieval
[bm25_only] Q083: 7.25s gen, 0.025s retrieval
[bm25_only] Q084: 6.06s gen, 0.028s retrieval
[bm25_only] Q085: 8.09s gen, 0.025s retrieval
[bm25_only] Q086: 7.43s gen, 0.020s retrieval
[bm25_only] Q087: 8.49s gen, 0.022s retrieval
[bm25_only] Q088: 6.22s gen, 0.021s retrieval
[bm25_only] Q089: 6.46s gen, 0.020s retrieval
[bm25_only] Q090: 7.31s gen, 0.029s retrieval
[bm25_only] Q091: 6.45s gen, 0.023s retrieval
[bm25_only] Q092: 9.35s gen, 0.020s retrieval
[bm25_only] Q093: 11.44s gen, 0.030s retrieval
[bm25_only] Q094: 5.93s gen, 0.021s retrieval
[bm25_only] Q095: 5.13s gen, 0.022s retrieval
[bm25_only] Q096: 4.77s gen, 0.020s retrieval
[bm25_only] Q097: 8.62s gen, 0.020s retrieval
[bm25_only] Q098: 6.98s gen, 0.022s retrieval
[bm25_only] Q099: 8.18s gen, 0.021s retrieval
[bm25_only] Q100: 6.87s gen, 0.023s retrieval
[bm25_only] Q101: 4.30s gen, 0.016s retrieval
[bm25_only] Q102: 4.04s gen, 0.017s retrieval
[bm25_only] Q103: 7.61s gen, 0.016s retrieval
[bm25_only] Q104: 4.17s gen, 0.016s retrieval
[bm25_only] Q105: 3.77s gen, 0.019s retrieval
[bm25_only] Q106: 3.80s gen, 0.016s retrieval
[bm25_only] Q107: 5.03s gen, 0.020s retrieval
[bm25_only] Q108: 4.38s gen, 0.016s retrieval
[bm25_only] Q109: 4.00s gen, 0.018s retrieval
[bm25_only] Q110: 4.61s gen, 0.019s retrieval
[bm25_only] Q111: 4.17s gen, 0.015s retrieval
[bm25_only] Q112: 4.06s gen, 0.015s retrieval
[bm25_only] Q113: 3.71s gen, 0.018s retrieval
[bm25_only] Q114: 4.22s gen, 0.016s retrieval
[bm25_only] Q115: 4.69s gen, 0.017s retrieval
[bm25_only] Q116: 4.33s gen, 0.015s retrieval
[bm25_only] Q117: 5.14s gen, 0.016s retrieval
[bm25_only] Q118: 4.49s gen, 0.015s retrieval
[bm25_only] Q119: 3.98s gen, 0.016s retrieval
