query_id,config,type,both_hit@3,both_hit@5,both_hit@10
COMPOUND-B-CSE221-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-11,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-12,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-13,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-14,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-15,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-16,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-17,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-18,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE221-19,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE230-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE230-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE230-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE230-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE230-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE230-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE230-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE230-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE230-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE230-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE230-11,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-01A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-01B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-02A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-02B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-03A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-03B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-04A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-04B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-05A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-05B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-06A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-06B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-07A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-07B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-08A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-08B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-09A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-09B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-10A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE250-10B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-01A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-01B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-02A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-03A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-03B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-04A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-04B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-05A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-05B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-06A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-06B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-07A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-08A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-08B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-09A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE251-09B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-01A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-01B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-02A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-02B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-03A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-03B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-04A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-04B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-05A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-05B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-06A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-06B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-07A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-07B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-08A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-08B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-09A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-09B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-10A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-10B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-11A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-11B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-12A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-12B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-13A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-13B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-14A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-14B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-15A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-15B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-16A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-16B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-17A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-17B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-18A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-18B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-19A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-19B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-20A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-20B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-21A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-21B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-22A,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE260-22B,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-11,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-12,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-13,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE320-14,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-11,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-12,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-13,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-14,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-15,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-16,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-17,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-18,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-19,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-20,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-21,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-23,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE321-24,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-01,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-02,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-03,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-04,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-05,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-06,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-07,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-08,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-09,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-10,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-11,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-12,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-13,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-14,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-15,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-16,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-17,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-18,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE330-19,bm25_only,faculty_room,False,False,False
COMPOUND-B-CSE331-01,bm25_only,faculty_room,False,False,False
