.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<?, ?it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<?, ?it/s]
[open_ended/linear] Q068: 10.28s gen, 0.034s retrieval, 0.152s rerank
[open_ended/linear] Q069: 4.69s gen, 0.021s retrieval, 0.148s rerank
[open_ended/linear] Q070: 6.26s gen, 0.026s retrieval, 0.121s rerank
[open_ended/linear] Q071: 6.09s gen, 0.032s retrieval, 0.147s rerank
[open_ended/linear] Q072: 4.80s gen, 0.027s retrieval, 0.105s rerank
[open_ended/linear] Q073: 11.22s gen, 0.027s retrieval, 0.124s rerank
[open_ended/linear] Q074: 5.91s gen, 0.024s retrieval, 0.120s rerank
[open_ended/linear] Q075: 4.52s gen, 0.022s retrieval, 0.078s rerank
[open_ended/linear] Q076: 6.02s gen, 0.022s retrieval, 0.121s rerank
[open_ended/linear] Q077: 0.00s gen, 0.023s retrieval, 0.126s rerank [ABSTAINED]
[open_ended/linear] Q078: 0.00s gen, 0.026s retrieval, 0.091s rerank [ABSTAINED]
[open_ended/linear] Q079: 4.09s gen, 0.020s retrieval, 0.101s rerank
[open_ended/linear] Q080: 9.14s gen, 0.028s retrieval, 0.134s rerank
[open_ended/linear] Q081: 7.64s gen, 0.026s retrieval, 0.072s rerank
[open_ended/linear] Q082: 9.03s gen, 0.025s retrieval, 0.123s rerank
[open_ended/linear] Q083: 4.07s gen, 0.028s retrieval, 0.098s rerank
[open_ended/linear] Q084: 6.39s gen, 0.033s retrieval, 0.183s rerank
[open_ended/linear] Q085: 9.84s gen, 0.035s retrieval, 0.155s rerank
[open_ended/linear] Q086: 5.96s gen, 0.028s retrieval, 0.092s rerank
[open_ended/linear] Q087: 5.98s gen, 0.024s retrieval, 0.090s rerank
[open_ended/linear] Q088: 7.76s gen, 0.023s retrieval, 0.089s rerank
[open_ended/linear] Q089: 14.86s gen, 0.032s retrieval, 0.152s rerank
[open_ended/linear] Q090: 0.00s gen, 0.024s retrieval, 0.107s rerank [ABSTAINED]
[open_ended/linear] Q091: 5.95s gen, 0.021s retrieval, 0.122s rerank
[open_ended/linear] Q092: 8.98s gen, 0.022s retrieval, 0.129s rerank
[open_ended/linear] Q093: 8.30s gen, 0.020s retrieval, 0.100s rerank
[open_ended/linear] Q094: 5.23s gen, 0.028s retrieval, 0.151s rerank
[open_ended/linear] Q095: 5.23s gen, 0.026s retrieval, 0.103s rerank
[open_ended/linear] Q096: 0.00s gen, 0.027s retrieval, 0.110s rerank [ABSTAINED]
[open_ended/linear] Q097: 0.00s gen, 0.027s retrieval, 0.101s rerank [ABSTAINED]
[open_ended/linear] Q098: 5.26s gen, 0.021s retrieval, 0.073s rerank
[open_ended/linear] Q099: 6.17s gen, 0.019s retrieval, 0.127s rerank
[open_ended/linear] Q100: 4.97s gen, 0.021s retrieval, 0.098s rerank
[entity_heavy/rrf] Q101: 4.57s gen, 0.018s retrieval, 0.302s rerank
[entity_heavy/rrf] Q102: 4.17s gen, 0.019s retrieval, 0.155s rerank
[entity_heavy/rrf] Q103: 3.96s gen, 0.016s retrieval, 0.138s rerank
[entity_heavy/rrf] Q104: 4.28s gen, 0.018s retrieval, 0.138s rerank
[entity_heavy/rrf] Q105: 3.70s gen, 0.019s retrieval, 0.056s rerank
[entity_heavy/rrf] Q106: 4.03s gen, 0.018s retrieval, 0.145s rerank
[entity_heavy/rrf] Q107: 5.73s gen, 0.020s retrieval, 0.068s rerank
[entity_heavy/rrf] Q108: 4.27s gen, 0.016s retrieval, 0.150s rerank
[entity_heavy/rrf] Q109: 4.00s gen, 0.017s retrieval, 0.059s rerank
[entity_heavy/rrf] Q110: 4.45s gen, 0.018s retrieval, 0.100s rerank
[entity_heavy/rrf] Q111: 5.28s gen, 0.016s retrieval, 0.184s rerank
[entity_heavy/rrf] Q112: 4.63s gen, 0.015s retrieval, 0.150s rerank
[entity_heavy/rrf] Q113: 3.73s gen, 0.021s retrieval, 0.047s rerank
[entity_heavy/rrf] Q114: 4.23s gen, 0.015s retrieval, 0.134s rerank
[entity_heavy/rrf] Q115: 4.47s gen, 0.017s retrieval, 0.139s rerank
[entity_heavy/rrf] Q116: 3.98s gen, 0.015s retrieval, 0.275s rerank
[entity_heavy/rrf] Q117: 5.30s gen, 0.024s retrieval, 0.153s rerank
[entity_heavy/rrf] Q118: 3.84s gen, 0.015s retrieval, 0.139s rerank
[entity_heavy/rrf] Q119: 3.81s gen, 0.015s retrieval, 0.137s rerank
[entity_heavy/rrf] Q120: 4.65s gen, 0.018s retrieval, 0.098s rerank
[entity_heavy/rrf] Q121: 5.23s gen, 0.020s retrieval, 0.091s rerank
[entity_heavy/rrf] Q122: 4.82s gen, 0.020s retrieval, 0.103s rerank
[entity_heavy/rrf] Q123: 5.06s gen, 0.019s retrieval, 0.140s rerank
[entity_heavy/rrf] Q124: 7.81s gen, 0.020s retrieval, 0.101s rerank
[entity_heavy/rrf] Q125: 5.14s gen, 0.015s retrieval, 0.141s rerank
[entity_heavy/rrf] Q126: 4.03s gen, 0.017s retrieval, 0.145s rerank
[entity_heavy/rrf] Q127: 4.66s gen, 0.018s retrieval, 0.093s rerank
[entity_heavy/rrf] Q128: 3.90s gen, 0.016s retrieval, 0.136s rerank
[entity_heavy/rrf] Q129: 3.87s gen, 0.020s retrieval, 0.117s rerank
[entity_heavy/rrf] Q130: 5.55s gen, 0.017s retrieval, 0.124s rerank
[entity_heavy/rrf] Q131: 5.46s gen, 0.017s retrieval, 0.103s rerank
[entity_heavy/rrf] Q132: 4.02s gen, 0.021s retrieval, 0.099s rerank
[entity_heavy/rrf] Q133: 3.98s gen, 0.017s retrieval, 0.099s rerank
[entity_heavy/rrf] Q134: 3.88s gen, 0.017s retrieval, 0.098s rerank
[entity_heavy/rrf] Q135: 3.88s gen, 0.017s retrieval, 0.125s rerank
[entity_heavy/rrf] Q136: 3.93s gen, 0.018s retrieval, 0.093s rerank
[entity_heavy/rrf] Q137: 3.93s gen, 0.015s retrieval, 0.109s rerank
[entity_heavy/rrf] Q138: 4.64s gen, 0.017s retrieval, 0.073s rerank
[entity_heavy/rrf] Q139: 0.00s gen, 0.017s retrieval, 0.119s rerank [ABSTAINED]
[entity_heavy/rrf] Q140: 0.00s gen, 0.018s retrieval, 0.093s rerank [ABSTAINED]
[entity_heavy/rrf] Q141: 4.09s gen, 0.018s retrieval, 0.088s rerank
[entity_heavy/rrf] Q142: 5.38s gen, 0.016s retrieval, 0.103s rerank
[entity_heavy/rrf] Q143: 4.79s gen, 0.015s retrieval, 0.088s rerank
[entity_heavy/rrf] Q144: 7.38s gen, 0.018s retrieval, 0.090s rerank
[entity_heavy/rrf] Q145: 8.11s gen, 0.015s retrieval, 0.101s rerank
[entity_heavy/rrf] Q146: 4.02s gen, 0.018s retrieval, 0.104s rerank
[entity_heavy/rrf] Q147: 4.78s gen, 0.015s retrieval, 0.079s rerank
[entity_heavy/rrf] Q148: 5.56s gen, 0.015s retrieval, 0.118s rerank
[entity_heavy/rrf] Q149: 4.74s gen, 0.016s retrieval, 0.076s rerank
[entity_heavy/rrf] Q150: 4.85s gen, 0.017s retrieval, 0.075s rerank
[entity_heavy/rrf] Q151: 4.93s gen, 0.020s retrieval, 0.164s rerank
[entity_heavy/rrf] Q152: 0.00s gen, 0.022s retrieval, 0.178s rerank [ABSTAINED]
[entity_heavy/rrf] Q153: 5.26s gen, 0.018s retrieval, 0.096s rerank
[entity_heavy/rrf] Q154: 5.32s gen, 0.025s retrieval, 0.095s rerank
[entity_heavy/rrf] Q155: 4.71s gen, 0.020s retrieval, 0.131s rerank
[entity_heavy/rrf] Q156: 4.86s gen, 0.020s retrieval, 0.109s rerank
[entity_heavy/rrf] Q157: 0.00s gen, 0.024s retrieval, 0.157s rerank [ABSTAINED]
[entity_heavy/rrf] Q158: 0.00s gen, 0.022s retrieval, 0.053s rerank [ABSTAINED]
[entity_heavy/rrf] Q159: 0.00s gen, 0.023s retrieval, 0.139s rerank [ABSTAINED]
[entity_heavy/rrf] Q160: 4.85s gen, 0.021s retrieval, 0.109s rerank
[entity_heavy/rrf] Q161: 0.00s gen, 0.023s retrieval, 0.060s rerank [ABSTAINED]
[entity_heavy/rrf] Q162: 0.00s gen, 0.025s retrieval, 0.107s rerank [ABSTAINED]
[entity_heavy/rrf] Q163: 4.74s gen, 0.018s retrieval, 0.117s rerank
[entity_heavy/rrf] Q164: 4.87s gen, 0.022s retrieval, 0.182s rerank
[entity_heavy/rrf] Q165: 4.94s gen, 0.019s retrieval, 0.198s rerank
[entity_heavy/rrf] Q166: 4.43s gen, 0.019s retrieval, 0.218s rerank
[entity_heavy/rrf] Q167: 4.31s gen, 0.021s retrieval, 0.201s rerank
[entity_heavy/rrf] Q168: 4.60s gen, 0.021s retrieval, 0.221s rerank
[entity_heavy/rrf] Q169: 0.00s gen, 0.020s retrieval, 0.195s rerank [ABSTAINED]
[entity_heavy/rrf] Q170: 6.93s gen, 0.020s retrieval, 0.140s rerank
[entity_heavy/rrf] Q171: 4.47s gen, 0.019s retrieval, 0.220s rerank
[entity_heavy/rrf] Q172: 4.47s gen, 0.019s retrieval, 0.148s rerank
[entity_heavy/rrf] Q173: 4.43s gen, 0.018s retrieval, 0.276s rerank
[entity_heavy/rrf] Q174: 4.54s gen, 0.018s retrieval, 0.181s rerank
[entity_heavy/rrf] Q175: 4.58s gen, 0.021s retrieval, 0.211s rerank
[entity_heavy/rrf] Q176: 4.92s gen, 0.021s retrieval, 0.183s rerank
[entity_heavy/rrf] Q177: 4.25s gen, 0.018s retrieval, 0.165s rerank
[entity_heavy/rrf] Q178: 4.82s gen, 0.019s retrieval, 0.241s rerank
[entity_heavy/rrf] Q179: 5.43s gen, 0.020s retrieval, 0.232s rerank
[entity_heavy/rrf] Q180: 4.32s gen, 0.017s retrieval, 0.205s rerank
[open_ended/linear] Q181: 0.00s gen, 0.019s retrieval, 0.096s rerank [ABSTAINED]
[open_ended/linear] Q182: 0.00s gen, 0.026s retrieval, 0.089s rerank [ABSTAINED]
[open_ended/linear] Q183: 0.00s gen, 0.017s retrieval, 0.129s rerank [ABSTAINED]
[open_ended/linear] Q184: 0.00s gen, 0.018s retrieval, 0.130s rerank [ABSTAINED]
[open_ended/linear] Q185: 0.00s gen, 0.016s retrieval, 0.158s rerank [ABSTAINED]
[open_ended/linear] Q186: 0.00s gen, 0.017s retrieval, 0.081s rerank [ABSTAINED]
