python : 
At line:7 char:1
+ python -u scripts/run_novel_pipeline.py --out results/novel_pipeline_ ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4346.04it/s]
[open_ended/linear] Q074: 4.79s gen, 0.024s retrieval, 0.000s rerank
[open_ended/linear] Q075: 5.13s gen, 0.018s retrieval, 0.000s rerank
[open_ended/linear] Q076: 7.55s gen, 0.016s retrieval, 0.000s rerank
[open_ended/linear] Q077: 3.55s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q078: 5.16s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q079: 6.31s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q080: 7.81s gen, 0.016s retrieval, 0.000s rerank
[open_ended/linear] Q081: 0.00s gen, 0.014s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q082: 6.24s gen, 0.018s retrieval, 0.000s rerank
[open_ended/linear] Q083: 7.36s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] Q084: 5.95s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] Q085: 7.92s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] Q086: 7.60s gen, 0.016s retrieval, 0.000s rerank
[open_ended/linear] Q087: 8.48s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q088: 7.18s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q089: 6.28s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q090: 7.22s gen, 0.025s retrieval, 0.000s rerank
[open_ended/linear] Q091: 6.43s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q092: 8.07s gen, 0.016s retrieval, 0.000s rerank
[open_ended/linear] Q093: 10.08s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q094: 6.00s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q095: 5.11s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q096: 4.74s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q097: 8.49s gen, 0.016s retrieval, 0.000s rerank
[open_ended/linear] Q098: 6.88s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q099: 8.01s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q100: 6.76s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q101: 4.49s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q102: 3.99s gen, 0.014s retrieval, 0.000s rerank
[entity_heavy/rrf] Q103: 4.01s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q104: 4.96s gen, 0.013s retrieval, 0.000s rerank
[entity_heavy/rrf] Q105: 3.77s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q106: 3.95s gen, 0.014s retrieval, 0.000s rerank
[entity_heavy/rrf] Q107: 5.24s gen, 0.027s retrieval, 0.000s rerank
[entity_heavy/rrf] Q108: 4.23s gen, 0.013s retrieval, 0.000s rerank
[entity_heavy/rrf] Q109: 4.02s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q110: 4.43s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q111: 5.31s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q112: 6.11s gen, 0.013s retrieval, 0.000s rerank
[entity_heavy/rrf] Q113: 3.79s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q114: 4.74s gen, 0.014s retrieval, 0.000s rerank
[entity_heavy/rrf] Q115: 4.56s gen, 0.012s retrieval, 0.000s rerank
[entity_heavy/rrf] Q116: 4.86s gen, 0.013s retrieval, 0.000s rerank
[entity_heavy/rrf] Q117: 3.99s gen, 0.013s retrieval, 0.000s rerank
[entity_heavy/rrf] Q118: 3.89s gen, 0.013s retrieval, 0.000s rerank
[entity_heavy/rrf] Q119: 3.88s gen, 0.013s retrieval, 0.000s rerank
[entity_heavy/rrf] Q120: 4.63s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q121: 5.45s gen, 0.014s retrieval, 0.000s rerank
[entity_heavy/rrf] Q122: 4.35s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q123: 4.96s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q124: 9.42s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q125: 4.48s gen, 0.029s retrieval, 0.000s rerank
[entity_heavy/rrf] Q126: 4.22s gen, 0.015s retrieval, 0.000s rerank
[entity_heavy/rrf] Q127: 4.96s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q128: 4.11s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q129: 3.99s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q130: 5.57s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q131: 4.14s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q132: 4.10s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q133: 4.01s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q134: 4.08s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q135: 4.18s gen, 0.022s retrieval, 0.000s rerank
[entity_heavy/rrf] Q136: 4.17s gen, 0.024s retrieval, 0.000s rerank
[entity_heavy/rrf] Q137: 4.29s gen, 0.014s retrieval, 0.000s rerank
[entity_heavy/rrf] Q138: 4.84s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q139: 4.23s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q140: 4.98s gen, 0.018s retrieval, 0.000s rerank
