.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:4 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[full_hybrid] Q096: 7.42s gen, 0.023s retrieval
[full_hybrid] Q097: 8.60s gen, 0.018s retrieval
[full_hybrid] Q098: 5.18s gen, 0.023s retrieval
[full_hybrid] Q099: 5.89s gen, 0.018s retrieval
[full_hybrid] Q100: 4.95s gen, 0.021s retrieval
[full_hybrid] Q101: 4.50s gen, 0.016s retrieval
[full_hybrid] Q102: 4.96s gen, 0.017s retrieval
[full_hybrid] Q103: 4.27s gen, 0.016s retrieval
[full_hybrid] Q104: 4.17s gen, 0.016s retrieval
[full_hybrid] Q105: 3.65s gen, 0.021s retrieval
[full_hybrid] Q106: 4.42s gen, 0.017s retrieval
[full_hybrid] Q107: 4.93s gen, 0.018s retrieval
[full_hybrid] Q108: 4.16s gen, 0.015s retrieval
[full_hybrid] Q109: 3.66s gen, 0.016s retrieval
[full_hybrid] Q110: 4.51s gen, 0.020s retrieval
[full_hybrid] Q111: 5.24s gen, 0.017s retrieval
[full_hybrid] Q112: 4.65s gen, 0.015s retrieval
[full_hybrid] Q113: 3.65s gen, 0.017s retrieval
[full_hybrid] Q114: 4.18s gen, 0.016s retrieval
[full_hybrid] Q115: 4.52s gen, 0.014s retrieval
[full_hybrid] Q116: 4.39s gen, 0.017s retrieval
[full_hybrid] Q117: 5.77s gen, 0.016s retrieval
[full_hybrid] Q118: 4.00s gen, 0.017s retrieval
[full_hybrid] Q119: 4.16s gen, 0.014s retrieval
[full_hybrid] Q120: 5.48s gen, 0.019s retrieval
[full_hybrid] Q121: 4.94s gen, 0.018s retrieval
[full_hybrid] Q122: 4.07s gen, 0.021s retrieval
[full_hybrid] Q123: 4.17s gen, 0.016s retrieval
[full_hybrid] Q124: 4.22s gen, 0.017s retrieval
[full_hybrid] Q125: 4.03s gen, 0.017s retrieval
[full_hybrid] Q126: 4.02s gen, 0.015s retrieval
[full_hybrid] Q127: 4.38s gen, 0.020s retrieval
[full_hybrid] Q128: 4.00s gen, 0.016s retrieval
[full_hybrid] Q129: 3.89s gen, 0.017s retrieval
[full_hybrid] Q130: 5.43s gen, 0.020s retrieval
[full_hybrid] Q131: 3.97s gen, 0.020s retrieval
[full_hybrid] Q132: 3.97s gen, 0.015s retrieval
[full_hybrid] Q133: 3.88s gen, 0.019s retrieval
[full_hybrid] Q134: 3.81s gen, 0.017s retrieval
[full_hybrid] Q135: 3.82s gen, 0.015s retrieval
[full_hybrid] Q136: 3.93s gen, 0.018s retrieval
[full_hybrid] Q137: 3.97s gen, 0.016s retrieval
[full_hybrid] Q138: 4.61s gen, 0.017s retrieval
[full_hybrid] Q139: 3.85s gen, 0.020s retrieval
[full_hybrid] Q140: 3.96s gen, 0.016s retrieval
[full_hybrid] Q141: 4.68s gen, 0.015s retrieval
[full_hybrid] Q142: 3.75s gen, 0.016s retrieval
[full_hybrid] Q143: 6.35s gen, 0.015s retrieval
[full_hybrid] Q144: 7.79s gen, 0.016s retrieval
[full_hybrid] Q145: 8.09s gen, 0.018s retrieval
[full_hybrid] Q146: 8.27s gen, 0.015s retrieval
[full_hybrid] Q147: 6.81s gen, 0.015s retrieval
[full_hybrid] Q148: 3.87s gen, 0.017s retrieval
[full_hybrid] Q149: 4.71s gen, 0.016s retrieval
[full_hybrid] Q150: 6.75s gen, 0.015s retrieval
[full_hybrid] Q151: 4.95s gen, 0.023s retrieval
[full_hybrid] Q152: 4.75s gen, 0.019s retrieval
[full_hybrid] Q153: 5.30s gen, 0.023s retrieval
[full_hybrid] Q154: 5.39s gen, 0.022s retrieval
