.\.venv\Scripts\python.exe : 
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
[vector_only] Q105: 3.78s gen, 0.020s retrieval
[vector_only] Q106: 4.24s gen, 0.020s retrieval
[vector_only] Q107: 4.99s gen, 0.022s retrieval
[vector_only] Q108: 4.32s gen, 0.017s retrieval
[vector_only] Q109: 4.06s gen, 0.019s retrieval
[vector_only] Q110: 4.49s gen, 0.021s retrieval
[vector_only] Q111: 5.46s gen, 0.015s retrieval
[vector_only] Q112: 4.57s gen, 0.016s retrieval
[vector_only] Q113: 4.14s gen, 0.019s retrieval
[vector_only] Q114: 4.27s gen, 0.016s retrieval
[vector_only] Q115: 3.84s gen, 0.017s retrieval
[vector_only] Q116: 4.66s gen, 0.017s retrieval
[vector_only] Q117: 4.62s gen, 0.016s retrieval
[vector_only] Q118: 4.41s gen, 0.016s retrieval
[vector_only] Q119: 4.32s gen, 0.018s retrieval
[vector_only] Q120: 4.42s gen, 0.022s retrieval
[vector_only] Q121: 4.25s gen, 0.020s retrieval
[vector_only] Q122: 4.18s gen, 0.020s retrieval
[vector_only] Q123: 4.54s gen, 0.016s retrieval
[vector_only] Q124: 5.20s gen, 0.019s retrieval
[vector_only] Q125: 4.08s gen, 0.016s retrieval
[vector_only] Q126: 4.38s gen, 0.016s retrieval
[vector_only] Q127: 4.45s gen, 0.019s retrieval
[vector_only] Q128: 4.07s gen, 0.016s retrieval
[vector_only] Q129: 5.28s gen, 0.019s retrieval
[vector_only] Q130: 4.48s gen, 0.018s retrieval
[vector_only] Q131: 4.90s gen, 0.018s retrieval
[vector_only] Q132: 3.76s gen, 0.017s retrieval
[vector_only] Q133: 3.80s gen, 0.017s retrieval
[vector_only] Q134: 3.78s gen, 0.017s retrieval
[vector_only] Q135: 3.72s gen, 0.016s retrieval
[vector_only] Q136: 3.79s gen, 0.017s retrieval
[vector_only] Q137: 3.88s gen, 0.017s retrieval
[vector_only] Q138: 4.60s gen, 0.018s retrieval
[vector_only] Q139: 3.78s gen, 0.016s retrieval
[vector_only] Q140: 4.51s gen, 0.016s retrieval
[vector_only] Q141: 3.75s gen, 0.017s retrieval
[vector_only] Q142: 3.75s gen, 0.017s retrieval
[vector_only] Q143: 4.78s gen, 0.019s retrieval
[vector_only] Q144: 4.62s gen, 0.018s retrieval
[vector_only] Q145: 4.40s gen, 0.017s retrieval
[vector_only] Q146: 3.80s gen, 0.018s retrieval
[vector_only] Q147: 4.49s gen, 0.017s retrieval
[vector_only] Q148: 3.87s gen, 0.016s retrieval
[vector_only] Q149: 4.48s gen, 0.017s retrieval
[vector_only] Q150: 4.50s gen, 0.018s retrieval
[vector_only] Q151: 5.28s gen, 0.023s retrieval
[vector_only] Q152: 5.28s gen, 0.023s retrieval
[vector_only] Q153: 5.23s gen, 0.022s retrieval
[vector_only] Q154: 5.28s gen, 0.022s retrieval
[vector_only] Q155: 3.73s gen, 0.022s retrieval
[vector_only] Q156: 5.22s gen, 0.022s retrieval
