python : 
At line:5 char:1
+ python -u scripts/run_novel_pipeline.py --use-reranker --rerank-pool- ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 11350.25it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 3445.70it/s]
[open_ended/linear] Q073: 13.35s gen, 0.021s retrieval, 0.065s rerank
[open_ended/linear] Q074: 4.96s gen, 0.023s retrieval, 0.026s rerank
[open_ended/linear] Q075: 6.40s gen, 0.024s retrieval, 0.014s rerank
[open_ended/linear] Q076: 7.93s gen, 0.019s retrieval, 0.015s rerank
[open_ended/linear] Q077: 5.08s gen, 0.019s retrieval, 0.013s rerank
[open_ended/linear] Q078: 5.29s gen, 0.021s retrieval, 0.012s rerank
[open_ended/linear] Q079: 7.12s gen, 0.020s retrieval, 0.012s rerank
[open_ended/linear] Q080: 8.12s gen, 0.017s retrieval, 0.016s rerank
[open_ended/linear] Q081: 0.00s gen, 0.014s retrieval, 0.046s rerank [ABSTAINED]
[open_ended/linear] Q082: 6.56s gen, 0.022s retrieval, 0.017s rerank
[open_ended/linear] Q083: 7.08s gen, 0.030s retrieval, 0.016s rerank
[open_ended/linear] Q084: 6.03s gen, 0.023s retrieval, 0.021s rerank
[open_ended/linear] Q085: 8.84s gen, 0.023s retrieval, 0.015s rerank
[open_ended/linear] Q086: 7.93s gen, 0.024s retrieval, 0.019s rerank
[open_ended/linear] Q087: 9.31s gen, 0.022s retrieval, 0.019s rerank
[open_ended/linear] Q088: 7.29s gen, 0.024s retrieval, 0.087s rerank
[open_ended/linear] Q089: 6.42s gen, 0.021s retrieval, 0.015s rerank
[open_ended/linear] Q090: 7.48s gen, 0.023s retrieval, 0.014s rerank
[open_ended/linear] Q091: 6.66s gen, 0.019s retrieval, 0.015s rerank
[open_ended/linear] Q092: 9.35s gen, 0.015s retrieval, 0.015s rerank
[open_ended/linear] Q093: 10.49s gen, 0.022s retrieval, 0.023s rerank
[open_ended/linear] Q094: 6.49s gen, 0.020s retrieval, 0.022s rerank
[open_ended/linear] Q095: 5.29s gen, 0.017s retrieval, 0.015s rerank
[open_ended/linear] Q096: 5.01s gen, 0.020s retrieval, 0.010s rerank
[open_ended/linear] Q097: 9.29s gen, 0.020s retrieval, 0.014s rerank
[open_ended/linear] Q098: 7.31s gen, 0.022s retrieval, 0.021s rerank
[open_ended/linear] Q099: 8.79s gen, 0.021s retrieval, 0.020s rerank
[open_ended/linear] Q100: 7.27s gen, 0.024s retrieval, 0.023s rerank
[entity_heavy/rrf] Q101: 4.81s gen, 0.019s retrieval, 0.024s rerank
[entity_heavy/rrf] Q102: 5.14s gen, 0.019s retrieval, 0.016s rerank
[entity_heavy/rrf] Q103: 4.75s gen, 0.019s retrieval, 0.017s rerank
[entity_heavy/rrf] Q104: 5.23s gen, 0.018s retrieval, 0.012s rerank
[entity_heavy/rrf] Q105: 3.94s gen, 0.017s retrieval, 0.010s rerank
[entity_heavy/rrf] Q106: 4.11s gen, 0.014s retrieval, 0.010s rerank
[entity_heavy/rrf] Q107: 6.15s gen, 0.019s retrieval, 0.010s rerank
[entity_heavy/rrf] Q108: 4.66s gen, 0.016s retrieval, 0.015s rerank
[entity_heavy/rrf] Q109: 4.18s gen, 0.018s retrieval, 0.010s rerank
[entity_heavy/rrf] Q110: 4.83s gen, 0.018s retrieval, 0.009s rerank
[entity_heavy/rrf] Q111: 5.58s gen, 0.017s retrieval, 0.017s rerank
[entity_heavy/rrf] Q112: 6.86s gen, 0.016s retrieval, 0.017s rerank
[entity_heavy/rrf] Q113: 4.03s gen, 0.018s retrieval, 0.012s rerank
[entity_heavy/rrf] Q114: 6.07s gen, 0.015s retrieval, 0.011s rerank
[entity_heavy/rrf] Q115: 4.90s gen, 0.013s retrieval, 0.015s rerank
[entity_heavy/rrf] Q116: 4.41s gen, 0.016s retrieval, 0.016s rerank
[entity_heavy/rrf] Q117: 5.62s gen, 0.017s retrieval, 0.011s rerank
[entity_heavy/rrf] Q118: 4.25s gen, 0.017s retrieval, 0.018s rerank
[entity_heavy/rrf] Q119: 4.01s gen, 0.018s retrieval, 0.011s rerank
[entity_heavy/rrf] Q120: 4.86s gen, 0.018s retrieval, 0.011s rerank
[entity_heavy/rrf] Q121: 5.70s gen, 0.016s retrieval, 0.009s rerank
[entity_heavy/rrf] Q122: 5.03s gen, 0.017s retrieval, 0.011s rerank
[entity_heavy/rrf] Q123: 5.17s gen, 0.016s retrieval, 0.012s rerank
[entity_heavy/rrf] Q124: 4.50s gen, 0.017s retrieval, 0.011s rerank
[entity_heavy/rrf] Q125: 5.34s gen, 0.018s retrieval, 0.011s rerank
[entity_heavy/rrf] Q126: 4.65s gen, 0.018s retrieval, 0.016s rerank
[entity_heavy/rrf] Q127: 4.89s gen, 0.017s retrieval, 0.009s rerank
[entity_heavy/rrf] Q128: 4.24s gen, 0.014s retrieval, 0.009s rerank
[entity_heavy/rrf] Q129: 4.17s gen, 0.019s retrieval, 0.010s rerank
[entity_heavy/rrf] Q130: 5.17s gen, 0.017s retrieval, 0.012s rerank
[entity_heavy/rrf] Q131: 4.23s gen, 0.022s retrieval, 0.013s rerank
[entity_heavy/rrf] Q132: 4.16s gen, 0.016s retrieval, 0.009s rerank
[entity_heavy/rrf] Q133: 4.16s gen, 0.017s retrieval, 0.010s rerank
[entity_heavy/rrf] Q134: 4.21s gen, 0.016s retrieval, 0.010s rerank
[entity_heavy/rrf] Q135: 4.11s gen, 0.014s retrieval, 0.010s rerank
[entity_heavy/rrf] Q136: 4.17s gen, 0.014s retrieval, 0.011s rerank
[entity_heavy/rrf] Q137: 4.15s gen, 0.018s retrieval, 0.011s rerank
[entity_heavy/rrf] Q138: 4.91s gen, 0.017s retrieval, 0.010s rerank
[entity_heavy/rrf] Q139: 4.10s gen, 0.015s retrieval, 0.012s rerank
[entity_heavy/rrf] Q140: 5.02s gen, 0.015s retrieval, 0.011s rerank
[entity_heavy/rrf] Q141: 4.22s gen, 0.014s retrieval, 0.013s rerank
[entity_heavy/rrf] Q142: 3.98s gen, 0.014s retrieval, 0.009s rerank
[entity_heavy/rrf] Q143: 5.02s gen, 0.013s retrieval, 0.010s rerank
[entity_heavy/rrf] Q144: 8.34s gen, 0.016s retrieval, 0.012s rerank
[entity_heavy/rrf] Q145: 8.87s gen, 0.015s retrieval, 0.019s rerank
[entity_heavy/rrf] Q146: 4.19s gen, 0.014s retrieval, 0.024s rerank
[entity_heavy/rrf] Q147: 5.06s gen, 0.018s retrieval, 0.010s rerank
[entity_heavy/rrf] Q148: 4.50s gen, 0.017s retrieval, 0.013s rerank
[entity_heavy/rrf] Q149: 5.11s gen, 0.067s retrieval, 0.012s rerank
[entity_heavy/rrf] Q150: 5.11s gen, 0.017s retrieval, 0.011s rerank
[entity_heavy/rrf] Q151: 5.37s gen, 0.023s retrieval, 0.017s rerank
[entity_heavy/rrf] Q152: 5.24s gen, 0.023s retrieval, 0.020s rerank
[entity_heavy/rrf] Q153: 5.23s gen, 0.019s retrieval, 0.014s rerank
[entity_heavy/rrf] Q154: 5.14s gen, 0.021s retrieval, 0.014s rerank
[entity_heavy/rrf] Q155: 4.89s gen, 0.019s retrieval, 0.012s rerank
[entity_heavy/rrf] Q156: 4.98s gen, 0.018s retrieval, 0.011s rerank
[entity_heavy/rrf] Q157: 6.63s gen, 0.021s retrieval, 0.016s rerank
[entity_heavy/rrf] Q158: 4.99s gen, 0.017s retrieval, 0.013s rerank
[entity_heavy/rrf] Q159: 5.72s gen, 0.018s retrieval, 0.018s rerank
[entity_heavy/rrf] Q160: 4.92s gen, 0.020s retrieval, 0.012s rerank
[entity_heavy/rrf] Q161: 4.83s gen, 0.019s retrieval, 0.009s rerank
[entity_heavy/rrf] Q162: 5.18s gen, 0.017s retrieval, 0.012s rerank
[entity_heavy/rrf] Q163: 5.95s gen, 0.022s retrieval, 0.014s rerank
[entity_heavy/rrf] Q164: 5.14s gen, 0.020s retrieval, 0.020s rerank
[entity_heavy/rrf] Q165: 5.36s gen, 0.020s retrieval, 0.020s rerank
[entity_heavy/rrf] Q166: 5.74s gen, 0.019s retrieval, 0.021s rerank
[entity_heavy/rrf] Q167: 6.71s gen, 0.020s retrieval, 0.021s rerank
[entity_heavy/rrf] Q168: 6.28s gen, 0.019s retrieval, 0.046s rerank
[entity_heavy/rrf] Q169: 5.69s gen, 0.020s retrieval, 0.021s rerank
[entity_heavy/rrf] Q170: 6.10s gen, 0.020s retrieval, 0.037s rerank
[entity_heavy/rrf] Q171: 5.47s gen, 0.018s retrieval, 0.022s rerank
[entity_heavy/rrf] Q172: 6.06s gen, 0.018s retrieval, 0.035s rerank
[entity_heavy/rrf] Q173: 5.92s gen, 0.021s retrieval, 0.013s rerank
[entity_heavy/rrf] Q174: 6.43s gen, 0.020s retrieval, 0.020s rerank
[entity_heavy/rrf] Q175: 6.02s gen, 0.023s retrieval, 0.043s rerank
[entity_heavy/rrf] Q176: 5.53s gen, 0.020s retrieval, 0.017s rerank
[entity_heavy/rrf] Q177: 5.66s gen, 0.018s retrieval, 0.017s rerank
[entity_heavy/rrf] Q178: 6.34s gen, 0.019s retrieval, 0.026s rerank
[entity_heavy/rrf] Q179: 7.60s gen, 0.019s retrieval, 0.023s rerank
[entity_heavy/rrf] Q180: 5.58s gen, 0.020s retrieval, 0.030s rerank
[entity_heavy/rrf] Q181: 4.06s gen, 0.019s retrieval, 0.013s rerank
[entity_heavy/rrf] Q182: 5.43s gen, 0.019s retrieval, 0.010s rerank
[entity_heavy/rrf] Q183: 4.80s gen, 0.020s retrieval, 0.014s rerank
[entity_heavy/rrf] Q184: 5.53s gen, 0.017s retrieval, 0.012s rerank
[entity_heavy/rrf] Q185: 5.19s gen, 0.018s retrieval, 0.013s rerank
[entity_heavy/rrf] Q186: 3.83s gen, 0.015s retrieval, 0.010s rerank
[entity_heavy/rrf] Q187: 3.87s gen, 0.016s retrieval, 0.012s rerank
[entity_heavy/rrf] Q188: 4.64s gen, 0.018s retrieval, 0.011s rerank
[entity_heavy/rrf] Q189: 5.67s gen, 0.019s retrieval, 0.013s rerank
[entity_heavy/rrf] Q190: 5.92s gen, 0.021s retrieval, 0.014s rerank
[entity_heavy/rrf] Q191: 4.79s gen, 0.018s retrieval, 0.023s rerank
[entity_heavy/rrf] Q192: 3.69s gen, 0.020s retrieval, 0.012s rerank
[entity_heavy/rrf] Q193: 5.03s gen, 0.017s retrieval, 0.011s rerank
[entity_heavy/rrf] Q194: 4.33s gen, 0.016s retrieval, 0.019s rerank
[entity_heavy/rrf] Q195: 6.65s gen, 0.020s retrieval, 0.027s rerank
[entity_heavy/rrf] Q196: 5.07s gen, 0.016s retrieval, 0.014s rerank
[entity_heavy/rrf] Q197: 4.78s gen, 0.019s retrieval, 0.016s rerank
[entity_heavy/rrf] Q198: 5.46s gen, 0.018s retrieval, 0.015s rerank
[entity_heavy/rrf] Q199: 5.52s gen, 0.017s retrieval, 0.018s rerank
[entity_heavy/rrf] Q200: 4.20s gen, 0.017s retrieval, 0.017s rerank
Wrote metadata to results\novel_pipeline_raw_outputs_reranker_pool5_metadata.json
Wrote 200 rows to results\novel_pipeline_raw_outputs_reranker_pool5.csv (1 abstained)
