python : 
At line:5 char:1
+ python -u scripts/run_novel_pipeline.py --queries data/test_queries_b ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 5049.60it/s]
[open_ended/linear] BQ072: 6.93s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] BQ073: 11.55s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] BQ074: 5.73s gen, 0.018s retrieval, 0.000s rerank
[open_ended/linear] BQ075: 6.68s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] BQ076: 8.02s gen, 0.018s retrieval, 0.000s rerank
[open_ended/linear] BQ077: 8.15s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] BQ078: 6.81s gen, 0.028s retrieval, 0.000s rerank
[open_ended/linear] BQ079: 7.03s gen, 0.017s retrieval, 0.000s rerank
[open_ended/linear] BQ080: 8.01s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] BQ081: 5.97s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] BQ082: 8.91s gen, 0.026s retrieval, 0.000s rerank
[open_ended/linear] BQ083: 3.76s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] BQ084: 6.67s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] BQ085: 8.66s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] BQ086: 4.09s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] BQ087: 8.07s gen, 0.029s retrieval, 0.000s rerank
[open_ended/linear] BQ088: 13.79s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] BQ089: 14.05s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] BQ090: 20.23s gen, 0.025s retrieval, 0.000s rerank
[open_ended/linear] BQ091: 10.35s gen, 0.025s retrieval, 0.000s rerank
[open_ended/linear] BQ092: 6.15s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] BQ093: 11.21s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] BQ094: 5.01s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] BQ095: 5.32s gen, 0.024s retrieval, 0.000s rerank
[open_ended/linear] BQ096: 6.86s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] BQ097: 6.74s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] BQ098: 10.20s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] BQ099: 6.07s gen, 0.024s retrieval, 0.000s rerank
[open_ended/linear] BQ100: 7.06s gen, 0.024s retrieval, 0.000s rerank
Wrote metadata to results\novel_pipeline_raw_outputs_roundL_banglish_metadata.json
Wrote 100 rows to results\novel_pipeline_raw_outputs_roundL_banglish.csv (1 abstained)
