.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:4 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[full_hybrid] Q096: 7.12s gen, 0.020s retrieval
[full_hybrid] Q097: 8.45s gen, 0.019s retrieval
[full_hybrid] Q098: 5.22s gen, 0.020s retrieval
[full_hybrid] Q099: 5.89s gen, 0.019s retrieval
[full_hybrid] Q100: 4.86s gen, 0.022s retrieval
[full_hybrid] Q101: 5.83s gen, 0.016s retrieval
[full_hybrid] Q102: 4.03s gen, 0.017s retrieval
[full_hybrid] Q103: 5.10s gen, 0.015s retrieval
[full_hybrid] Q104: 5.55s gen, 0.015s retrieval
[full_hybrid] Q105: 3.71s gen, 0.020s retrieval
[full_hybrid] Q106: 4.33s gen, 0.017s retrieval
[full_hybrid] Q107: 4.92s gen, 0.019s retrieval
[full_hybrid] Q108: 4.23s gen, 0.016s retrieval
[full_hybrid] Q109: 3.65s gen, 0.018s retrieval
[full_hybrid] Q110: 4.47s gen, 0.020s retrieval
[full_hybrid] Q111: 5.29s gen, 0.014s retrieval
[full_hybrid] Q112: 5.93s gen, 0.014s retrieval
[full_hybrid] Q113: 3.67s gen, 0.020s retrieval
[full_hybrid] Q114: 5.93s gen, 0.016s retrieval
[full_hybrid] Q115: 3.77s gen, 0.016s retrieval
[full_hybrid] Q116: 4.70s gen, 0.016s retrieval
[full_hybrid] Q117: 6.46s gen, 0.018s retrieval
[full_hybrid] Q118: 4.15s gen, 0.017s retrieval
[full_hybrid] Q119: 4.59s gen, 0.014s retrieval
[full_hybrid] Q120: 4.39s gen, 0.017s retrieval
[full_hybrid] Q121: 4.95s gen, 0.019s retrieval
[full_hybrid] Q122: 3.89s gen, 0.017s retrieval
[full_hybrid] Q123: 4.87s gen, 0.015s retrieval
[full_hybrid] Q124: 4.60s gen, 0.014s retrieval
[full_hybrid] Q125: 5.13s gen, 0.015s retrieval
[full_hybrid] Q126: 4.22s gen, 0.016s retrieval
[full_hybrid] Q127: 4.40s gen, 0.018s retrieval
[full_hybrid] Q128: 3.94s gen, 0.017s retrieval
[full_hybrid] Q129: 4.26s gen, 0.014s retrieval
[full_hybrid] Q130: 5.43s gen, 0.017s retrieval
[full_hybrid] Q131: 5.36s gen, 0.019s retrieval
[full_hybrid] Q132: 4.02s gen, 0.015s retrieval
[full_hybrid] Q133: 3.90s gen, 0.016s retrieval
[full_hybrid] Q134: 5.37s gen, 0.015s retrieval
[full_hybrid] Q135: 3.82s gen, 0.015s retrieval
[full_hybrid] Q136: 3.90s gen, 0.017s retrieval
[full_hybrid] Q137: 3.90s gen, 0.015s retrieval
[full_hybrid] Q138: 4.55s gen, 0.016s retrieval
[full_hybrid] Q139: 5.27s gen, 0.016s retrieval
[full_hybrid] Q140: 4.86s gen, 0.015s retrieval
[full_hybrid] Q141: 4.15s gen, 0.015s retrieval
[full_hybrid] Q142: 4.49s gen, 0.047s retrieval
[full_hybrid] Q143: 5.85s gen, 0.016s retrieval
[full_hybrid] Q144: 5.84s gen, 0.016s retrieval
[full_hybrid] Q145: 8.99s gen, 0.017s retrieval
[full_hybrid] Q146: 3.94s gen, 0.018s retrieval
[full_hybrid] Q147: 4.71s gen, 0.019s retrieval
[full_hybrid] Q148: 5.47s gen, 0.017s retrieval
[full_hybrid] Q149: 4.72s gen, 0.016s retrieval
[full_hybrid] Q150: 7.01s gen, 0.017s retrieval
[full_hybrid] Q151: 4.96s gen, 0.021s retrieval
[full_hybrid] Q152: 4.84s gen, 0.020s retrieval
[full_hybrid] Q153: 4.91s gen, 0.019s retrieval
[full_hybrid] Q154: 4.82s gen, 0.022s retrieval
[full_hybrid] Q155: 4.82s gen, 0.024s retrieval
[full_hybrid] Q156: 4.74s gen, 0.021s retrieval
[full_hybrid] Q157: 5.42s gen, 0.021s retrieval
[full_hybrid] Q158: 4.33s gen, 0.022s retrieval
[full_hybrid] Q159: 5.03s gen, 0.020s retrieval
[full_hybrid] Q160: 4.87s gen, 0.021s retrieval
[full_hybrid] Q161: 4.56s gen, 0.023s retrieval
[full_hybrid] Q162: 4.75s gen, 0.021s retrieval
[full_hybrid] Q163: 5.62s gen, 0.023s retrieval
[full_hybrid] Q164: 4.85s gen, 0.019s retrieval
[full_hybrid] Q165: 4.91s gen, 0.019s retrieval
[full_hybrid] Q166: 10.23s gen, 0.018s retrieval
[full_hybrid] Q167: 4.36s gen, 0.020s retrieval
[full_hybrid] Q168: 4.31s gen, 0.020s retrieval
[full_hybrid] Q169: 5.31s gen, 0.020s retrieval
[full_hybrid] Q170: 6.16s gen, 0.022s retrieval
[full_hybrid] Q171: 4.12s gen, 0.018s retrieval
[full_hybrid] Q172: 8.44s gen, 0.019s retrieval
[full_hybrid] Q173: 4.64s gen, 0.017s retrieval
[full_hybrid] Q174: 4.54s gen, 0.018s retrieval
[full_hybrid] Q175: 4.90s gen, 0.020s retrieval
[full_hybrid] Q176: 6.35s gen, 0.018s retrieval
[full_hybrid] Q177: 4.73s gen, 0.018s retrieval
[full_hybrid] Q178: 10.23s gen, 0.019s retrieval
[full_hybrid] Q179: 4.26s gen, 0.017s retrieval
[full_hybrid] Q180: 7.19s gen, 0.020s retrieval
[full_hybrid] Q181: 4.03s gen, 0.019s retrieval
[full_hybrid] Q182: 5.11s gen, 0.023s retrieval
[full_hybrid] Q183: 4.54s gen, 0.018s retrieval
[full_hybrid] Q184: 5.17s gen, 0.021s retrieval
[full_hybrid] Q185: 4.97s gen, 0.018s retrieval
[full_hybrid] Q186: 3.57s gen, 0.015s retrieval
[full_hybrid] Q187: 3.72s gen, 0.015s retrieval
[full_hybrid] Q188: 4.28s gen, 0.024s retrieval
[full_hybrid] Q189: 5.58s gen, 0.019s retrieval
[full_hybrid] Q190: 5.38s gen, 0.021s retrieval
[full_hybrid] Q191: 4.29s gen, 0.014s retrieval
[full_hybrid] Q192: 4.35s gen, 0.014s retrieval
[full_hybrid] Q193: 4.79s gen, 0.019s retrieval
[full_hybrid] Q194: 4.16s gen, 0.018s retrieval
[full_hybrid] Q195: 5.68s gen, 0.017s retrieval
[full_hybrid] Q196: 4.68s gen, 0.015s retrieval
[full_hybrid] Q197: 4.52s gen, 0.016s retrieval
[full_hybrid] Q198: 4.69s gen, 0.020s retrieval
[full_hybrid] Q199: 5.26s gen, 0.017s retrieval
[full_hybrid] Q200: 4.66s gen, 0.019s retrieval
[bm25_only] Q001: 10.09s gen, 0.027s retrieval
[bm25_only] Q002: 4.28s gen, 0.026s retrieval
[bm25_only] Q003: 8.63s gen, 0.018s retrieval
[bm25_only] Q004: 6.90s gen, 0.020s retrieval
[bm25_only] Q005: 8.04s gen, 0.019s retrieval
[bm25_only] Q006: 5.08s gen, 0.014s retrieval
[bm25_only] Q007: 9.40s gen, 0.024s retrieval
[bm25_only] Q008: 3.98s gen, 0.019s retrieval
[bm25_only] Q009: 3.61s gen, 0.016s retrieval
[bm25_only] Q010: 4.72s gen, 0.020s retrieval
[bm25_only] Q011: 8.47s gen, 0.019s retrieval
[bm25_only] Q012: 4.75s gen, 0.020s retrieval
[bm25_only] Q013: 7.97s gen, 0.019s retrieval
[bm25_only] Q014: 10.33s gen, 0.017s retrieval
[bm25_only] Q015: 9.10s gen, 0.020s retrieval
[bm25_only] Q016: 7.83s gen, 0.021s retrieval
[bm25_only] Q017: 8.00s gen, 0.020s retrieval
[bm25_only] Q018: 3.99s gen, 0.017s retrieval
[bm25_only] Q019: 3.78s gen, 0.019s retrieval
[bm25_only] Q020: 3.62s gen, 0.019s retrieval
[bm25_only] Q021: 8.45s gen, 0.021s retrieval
[bm25_only] Q022: 11.61s gen, 0.024s retrieval
[bm25_only] Q023: 5.81s gen, 0.019s retrieval
[bm25_only] Q024: 8.26s gen, 0.023s retrieval
[bm25_only] Q025: 7.27s gen, 0.021s retrieval
[bm25_only] Q026: 6.34s gen, 0.022s retrieval
