query_id,config,bleu,rougeL,bertscore,meteor
Q002,lambda_0.3,0.4018215766366551,0.5833333333333334,0.937483251094818,0.8822222222222224
Q003,lambda_0.3,1.0,1.0,1.0000001192092896,0.999996824671036
Q004,lambda_0.3,1.0,1.0,1.0,0.999898229187869
Q007,lambda_0.3,0.7886532351388189,0.9295774647887324,0.9760670065879822,0.8959483886078181
Q008,lambda_0.3,0.5142401605028263,0.782608695652174,0.928557515144348,0.9293241279069768
Q011,lambda_0.3,0.2656171064218943,0.5176470588235293,0.9433451890945436,0.5105710541097174
Q012,lambda_0.3,0.2899784414715207,0.5555555555555556,0.9580538868904114,0.6657910689028086
Q013,lambda_0.3,1.0,1.0,1.0,0.9999901289163524
Q014,lambda_0.3,0.3521551062177935,0.7764705882352942,0.9557639360427856,0.928660209567128
Q015,lambda_0.3,1.0,1.0,0.9999999403953552,0.999898229187869
Q016,lambda_0.3,0.3760603093086394,0.6944444444444445,0.9355009198188782,0.7666206579250058
Q017,lambda_0.3,0.9024521756077708,0.9666666666666666,0.9941956400871276,0.9943898779073732
Q018,lambda_0.3,1.0,1.0,0.9999999403953552,0.9997724169321802
Q019,lambda_0.3,1.0,1.0,1.0000001192092896,0.9996243425995492
Q021,lambda_0.3,0.4551904662305216,0.7333333333333334,0.9490139484405518,0.5332297695670878
Q022,lambda_0.3,0.737288622511305,0.8518518518518519,0.9706453680992126,0.9677069332437276
Q023,lambda_0.3,1.0,1.0,0.9999998807907104,0.9999981793354574
Q026,lambda_0.3,1.0,1.0,0.9999999403953552,0.9999745973682872
Q027,lambda_0.3,0.7116691743715989,0.989247311827957,0.983759105205536,0.9208786428882124
Q028,lambda_0.3,1.0,1.0,0.9999998807907104,0.9995
Q031,lambda_0.3,0.9078660717032188,0.8585858585858586,0.9910887479782104,0.96978156791106
Q033,lambda_0.3,0.7868272722156737,0.9166666666666666,0.967803955078125,0.9671950254816308
Q034,lambda_0.3,1.0,1.0,1.0,0.99999451303155
Q035,lambda_0.3,0.7864509426659901,0.8518518518518519,0.9713631868362428,0.974826405931976
Q037,lambda_0.3,0.8791116082044841,0.9887640449438202,0.9811110496520996,0.9531539888682746
Q038,lambda_0.3,1.0,1.0,0.9999999403953552,0.9999872786484836
Q040,lambda_0.3,1.0,1.0,0.9999999403953552,0.99997722303207
Q041,lambda_0.3,1.0,1.0,0.9999999403953552,0.999996824671036
Q044,lambda_0.3,1.0,1.0,1.0000001192092896,0.9996243425995492
Q045,lambda_0.3,0.667128870844908,0.9069767441860463,0.9766350984573364,0.937922592071678
Q046,lambda_0.3,0.8720290467146479,0.923076923076923,0.9778074622154236,0.9865007597376124
Q047,lambda_0.3,0.9884373631740124,0.9937888198757764,0.9979677200317384,0.9988511359480532
Q048,lambda_0.3,0.2757844785238114,0.6067415730337078,0.9455224275588988,0.3135512044076906
Q049,lambda_0.3,1.0,1.0,0.9999999403953552,0.9999745973682872
Q050,lambda_0.3,1.0,1.0,1.0,0.9999883381924198
Q052,lambda_0.3,0.5209121273117441,0.7346938775510204,0.9622128009796144,0.5590801978403294
