.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6446.81it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 9181.74it/s]
[open_ended/linear] Q068: 10.20s gen, 0.032s retrieval, 0.137s rerank
[open_ended/linear] Q069: 4.71s gen, 0.018s retrieval, 0.153s rerank
[open_ended/linear] Q070: 6.33s gen, 0.026s retrieval, 0.116s rerank
[open_ended/linear] Q071: 6.10s gen, 0.032s retrieval, 0.149s rerank
[open_ended/linear] Q072: 4.82s gen, 0.023s retrieval, 0.103s rerank
[open_ended/linear] Q073: 11.21s gen, 0.024s retrieval, 0.124s rerank
[open_ended/linear] Q074: 6.02s gen, 0.025s retrieval, 0.119s rerank
[open_ended/linear] Q075: 4.54s gen, 0.021s retrieval, 0.077s rerank
[open_ended/linear] Q076: 6.03s gen, 0.021s retrieval, 0.122s rerank
[open_ended/linear] Q077: 0.00s gen, 0.024s retrieval, 0.121s rerank [ABSTAINED]
[open_ended/linear] Q078: 0.00s gen, 0.026s retrieval, 0.107s rerank [ABSTAINED]
[open_ended/linear] Q079: 4.06s gen, 0.019s retrieval, 0.100s rerank
[open_ended/linear] Q080: 9.23s gen, 0.029s retrieval, 0.140s rerank
[open_ended/linear] Q081: 7.77s gen, 0.022s retrieval, 0.070s rerank
[open_ended/linear] Q082: 9.20s gen, 0.025s retrieval, 0.127s rerank
[open_ended/linear] Q083: 4.10s gen, 0.025s retrieval, 0.095s rerank
[open_ended/linear] Q084: 6.50s gen, 0.033s retrieval, 0.192s rerank
[open_ended/linear] Q085: 9.98s gen, 0.028s retrieval, 0.157s rerank
[open_ended/linear] Q086: 5.99s gen, 0.029s retrieval, 0.088s rerank
[open_ended/linear] Q087: 5.94s gen, 0.022s retrieval, 0.090s rerank
[open_ended/linear] Q088: 7.84s gen, 0.027s retrieval, 0.090s rerank
[open_ended/linear] Q089: 14.98s gen, 0.026s retrieval, 0.153s rerank
[open_ended/linear] Q090: 0.00s gen, 0.020s retrieval, 0.101s rerank [ABSTAINED]
[open_ended/linear] Q091: 5.94s gen, 0.022s retrieval, 0.135s rerank
[open_ended/linear] Q092: 9.10s gen, 0.024s retrieval, 0.128s rerank
[open_ended/linear] Q093: 8.25s gen, 0.018s retrieval, 0.097s rerank
[open_ended/linear] Q094: 5.15s gen, 0.026s retrieval, 0.147s rerank
[open_ended/linear] Q095: 5.17s gen, 0.028s retrieval, 0.109s rerank
[open_ended/linear] Q096: 0.00s gen, 0.023s retrieval, 0.116s rerank [ABSTAINED]
[open_ended/linear] Q097: 0.00s gen, 0.025s retrieval, 0.087s rerank [ABSTAINED]
[open_ended/linear] Q098: 5.13s gen, 0.024s retrieval, 0.070s rerank
[open_ended/linear] Q099: 6.00s gen, 0.022s retrieval, 0.133s rerank
[open_ended/linear] Q100: 5.01s gen, 0.022s retrieval, 0.103s rerank
[entity_heavy/rrf] Q101: 4.74s gen, 0.021s retrieval, 0.332s rerank
[entity_heavy/rrf] Q102: 4.23s gen, 0.023s retrieval, 0.146s rerank
[entity_heavy/rrf] Q103: 4.05s gen, 0.018s retrieval, 0.145s rerank
[entity_heavy/rrf] Q104: 4.29s gen, 0.019s retrieval, 0.133s rerank
[entity_heavy/rrf] Q105: 3.73s gen, 0.022s retrieval, 0.057s rerank
[entity_heavy/rrf] Q106: 3.97s gen, 0.017s retrieval, 0.143s rerank
[entity_heavy/rrf] Q107: 5.71s gen, 0.019s retrieval, 0.069s rerank
[entity_heavy/rrf] Q108: 4.29s gen, 0.016s retrieval, 0.142s rerank
[entity_heavy/rrf] Q109: 4.01s gen, 0.021s retrieval, 0.055s rerank
[entity_heavy/rrf] Q110: 4.39s gen, 0.018s retrieval, 0.098s rerank
[entity_heavy/rrf] Q111: 5.36s gen, 0.017s retrieval, 0.187s rerank
[entity_heavy/rrf] Q112: 4.65s gen, 0.018s retrieval, 0.143s rerank
[entity_heavy/rrf] Q113: 3.75s gen, 0.020s retrieval, 0.050s rerank
[entity_heavy/rrf] Q114: 4.30s gen, 0.016s retrieval, 0.148s rerank
[entity_heavy/rrf] Q115: 4.48s gen, 0.014s retrieval, 0.142s rerank
[entity_heavy/rrf] Q116: 4.01s gen, 0.014s retrieval, 0.275s rerank
[entity_heavy/rrf] Q117: 5.30s gen, 0.019s retrieval, 0.138s rerank
[entity_heavy/rrf] Q118: 3.86s gen, 0.015s retrieval, 0.140s rerank
[entity_heavy/rrf] Q119: 3.89s gen, 0.015s retrieval, 0.140s rerank
[entity_heavy/rrf] Q120: 4.57s gen, 0.018s retrieval, 0.097s rerank
[entity_heavy/rrf] Q121: 5.25s gen, 0.018s retrieval, 0.087s rerank
[entity_heavy/rrf] Q122: 4.90s gen, 0.019s retrieval, 0.096s rerank
[entity_heavy/rrf] Q123: 5.02s gen, 0.016s retrieval, 0.143s rerank
[entity_heavy/rrf] Q124: 7.85s gen, 0.017s retrieval, 0.103s rerank
[entity_heavy/rrf] Q125: 5.28s gen, 0.015s retrieval, 0.146s rerank
[entity_heavy/rrf] Q126: 4.02s gen, 0.014s retrieval, 0.141s rerank
[entity_heavy/rrf] Q127: 4.68s gen, 0.018s retrieval, 0.093s rerank
[entity_heavy/rrf] Q128: 3.92s gen, 0.017s retrieval, 0.140s rerank
[entity_heavy/rrf] Q129: 3.86s gen, 0.018s retrieval, 0.124s rerank
