query_id,config,predicted_category,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q014,bm25_only,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q014,full_hybrid_baseline,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q014,full_hybrid_category_boost,Advising,1.0,1.0,1.0,1.0,0.7653606369886217,0.9066276098484507
Q014,vector_only_baseline,Advising,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q014,vector_only_category_boost,Advising,1.0,1.0,1.0,1.0,0.7039180890341347,0.8451850618939637
Q015,bm25_only,Programs & Departments,1.0,1.0,1.0,1.0,0.7653606369886217,0.9217868789962071
Q015,full_hybrid_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q015,full_hybrid_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,0.7653606369886217,0.9217868789962071
Q015,vector_only_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q015,vector_only_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q016,bm25_only,Technical Support,1.0,1.0,1.0,1.0,1.0,1.0
Q016,full_hybrid_baseline,Technical Support,1.0,1.0,1.0,1.0,1.0,1.0
Q016,full_hybrid_category_boost,Technical Support,1.0,1.0,1.0,1.0,1.0,1.0
Q016,vector_only_baseline,Technical Support,1.0,1.0,1.0,1.0,1.0,1.0
Q016,vector_only_category_boost,Technical Support,1.0,1.0,1.0,1.0,1.0,1.0
Q017,bm25_only,Admission,1.0,1.0,1.0,1.0,0.7653606369886217,0.9010126104210695
Q017,full_hybrid_baseline,Admission,1.0,1.0,1.0,1.0,1.0,1.0
Q017,full_hybrid_category_boost,Admission,1.0,1.0,1.0,1.0,1.0,1.0
Q017,vector_only_baseline,Admission,1.0,1.0,1.0,1.0,0.7653606369886217,0.9325210919548239
Q017,vector_only_category_boost,Admission,1.0,1.0,1.0,1.0,0.7653606369886217,0.9066276098484507
Q018,bm25_only,University Facts & Governance,1.0,1.0,1.0,1.0,0.8539316501572937,0.9667147927059906
Q018,full_hybrid_baseline,University Facts & Governance,1.0,1.0,1.0,1.0,0.8687949224876582,0.9770153702993118
Q018,full_hybrid_category_boost,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,0.9971876401972101
Q018,vector_only_baseline,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,0.9842184869190973
Q018,vector_only_category_boost,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,0.9971876401972101
Q019,bm25_only,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q019,full_hybrid_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q019,full_hybrid_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q019,vector_only_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q019,vector_only_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q020,bm25_only,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q020,full_hybrid_baseline,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q020,full_hybrid_category_boost,Campus,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q020,vector_only_baseline,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q020,vector_only_category_boost,Campus,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q021,bm25_only,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q021,full_hybrid_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q021,full_hybrid_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q021,vector_only_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q021,vector_only_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q022,bm25_only,Advising,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q022,full_hybrid_baseline,Advising,1.0,1.0,1.0,1.0,0.8318724637288826,0.9619991470595832
Q022,full_hybrid_category_boost,Advising,1.0,1.0,1.0,1.0,0.8318724637288826,0.9550236580992476
Q022,vector_only_baseline,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q022,vector_only_category_boost,Advising,1.0,1.0,1.0,1.0,0.9828920819566879,0.9828920819566879
Q023,bm25_only,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q023,full_hybrid_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q023,full_hybrid_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q023,vector_only_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q023,vector_only_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q024,bm25_only,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q024,full_hybrid_baseline,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q024,full_hybrid_category_boost,Thesis and Internship,1.0,1.0,1.0,1.0,0.9469024295259745,0.9469024295259745
Q024,vector_only_baseline,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q024,vector_only_category_boost,Thesis and Internship,1.0,1.0,1.0,1.0,0.9469024295259745,0.9469024295259745
Q025,bm25_only,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q025,full_hybrid_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q025,full_hybrid_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q025,vector_only_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q025,vector_only_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q026,bm25_only,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,1.0
Q026,full_hybrid_baseline,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,1.0
Q026,full_hybrid_category_boost,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,1.0
Q026,vector_only_baseline,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,1.0
Q026,vector_only_category_boost,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,1.0
Q027,bm25_only,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q027,full_hybrid_baseline,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q027,full_hybrid_category_boost,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q027,vector_only_baseline,Campus,1.0,1.0,1.0,1.0,0.8687949224876582,0.9896062251871525
Q027,vector_only_category_boost,Campus,1.0,1.0,1.0,1.0,0.8687949224876582,0.975788054854922
Q028,bm25_only,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q028,full_hybrid_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q028,full_hybrid_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q028,vector_only_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q028,vector_only_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q029,bm25_only,Library,1.0,1.0,1.0,1.0,1.0,1.0
Q029,full_hybrid_baseline,Library,1.0,1.0,1.0,1.0,0.46927872602275644,0.7461976723150332
Q029,full_hybrid_category_boost,Library,1.0,1.0,1.0,1.0,0.46927872602275644,0.7461976723150332
Q029,vector_only_baseline,Library,1.0,1.0,1.0,1.0,1.0,1.0
Q029,vector_only_category_boost,Library,1.0,1.0,1.0,1.0,1.0,0.983303248698947
Q030,bm25_only,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q030,full_hybrid_baseline,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q030,full_hybrid_category_boost,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q030,vector_only_baseline,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q030,vector_only_category_boost,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q031,bm25_only,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q031,full_hybrid_baseline,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q031,full_hybrid_category_boost,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q031,vector_only_baseline,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q031,vector_only_category_boost,"Payment, Financial Aid and Scholarship",1.0,1.0,1.0,1.0,1.0,1.0
Q032,bm25_only,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q032,full_hybrid_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q032,full_hybrid_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q032,vector_only_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q032,vector_only_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q033,bm25_only,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q033,full_hybrid_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q033,full_hybrid_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.8772153153380493,0.8772153153380493
Q033,vector_only_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q033,vector_only_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.6131471927654584,0.8065735963827293
Q034,bm25_only,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q034,full_hybrid_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q034,full_hybrid_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q034,vector_only_baseline,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q034,vector_only_category_boost,Programs & Departments,1.0,1.0,1.0,1.0,1.0,1.0
Q035,bm25_only,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q035,full_hybrid_baseline,Campus,1.0,1.0,1.0,1.0,1.0,1.0
Q035,full_hybrid_category_boost,Campus,1.0,1.0,1.0,1.0,0.9469024295259745,0.9469024295259745
Q035,vector_only_baseline,Campus,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q035,vector_only_category_boost,Campus,1.0,1.0,1.0,1.0,0.7653606369886217,0.9217868789962071
Q036,bm25_only,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q036,full_hybrid_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.6131471927654584,0.7977228895450266
Q036,full_hybrid_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.6131471927654584,0.7903864795495061
Q036,vector_only_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q036,vector_only_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q037,bm25_only,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q037,full_hybrid_baseline,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q037,full_hybrid_category_boost,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q037,vector_only_baseline,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q037,vector_only_category_boost,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q038,bm25_only,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q038,full_hybrid_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q038,full_hybrid_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q038,vector_only_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q038,vector_only_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q039,bm25_only,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q039,full_hybrid_baseline,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q039,full_hybrid_category_boost,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q039,vector_only_baseline,Advising,1.0,1.0,1.0,1.0,1.0,1.0
Q039,vector_only_category_boost,Advising,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q040,bm25_only,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q040,full_hybrid_baseline,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q040,full_hybrid_category_boost,Thesis and Internship,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q040,vector_only_baseline,Thesis and Internship,1.0,1.0,1.0,1.0,1.0,1.0
Q040,vector_only_category_boost,Thesis and Internship,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q041,bm25_only,University Facts & Governance,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q041,full_hybrid_baseline,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,1.0
Q041,full_hybrid_category_boost,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,1.0
Q041,vector_only_baseline,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,1.0
Q041,vector_only_category_boost,University Facts & Governance,1.0,1.0,1.0,1.0,1.0,1.0
Q042,bm25_only,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q042,full_hybrid_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q042,full_hybrid_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q042,vector_only_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q042,vector_only_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.8503449055347546,0.8503449055347546
Q043,bm25_only,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q043,full_hybrid_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q043,full_hybrid_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.9197207891481876,0.9197207891481876
Q043,vector_only_baseline,Transportation and Bus Services,1.0,1.0,1.0,1.0,1.0,1.0
Q043,vector_only_category_boost,Transportation and Bus Services,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q044,bm25_only,International Student,1.0,1.0,1.0,1.0,1.0,1.0
Q044,full_hybrid_baseline,International Student,1.0,1.0,1.0,1.0,1.0,0.9796825595768971
Q044,full_hybrid_category_boost,International Student,1.0,1.0,1.0,1.0,1.0,1.0
Q044,vector_only_baseline,International Student,1.0,1.0,1.0,1.0,1.0,1.0
Q044,vector_only_category_boost,International Student,1.0,1.0,1.0,1.0,1.0,0.9796825595768971
Q045,bm25_only,Advising,1.0,1.0,1.0,1.0,0.8503449055347546,0.8503449055347546
