.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --out result ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<?, ?it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 6717.03it/s]
[open_ended/linear] Q071: 8.32s gen, 0.036s retrieval, 0.429s rerank
[open_ended/linear] Q072: 11.44s gen, 0.025s retrieval, 0.119s rerank
[open_ended/linear] Q073: 16.89s gen, 0.028s retrieval, 0.294s rerank
[open_ended/linear] Q074: 4.75s gen, 0.022s retrieval, 0.083s rerank
[open_ended/linear] Q075: 6.23s gen, 0.023s retrieval, 0.126s rerank
[open_ended/linear] Q076: 7.54s gen, 0.023s retrieval, 0.092s rerank
[open_ended/linear] Q077: 4.36s gen, 0.023s retrieval, 0.338s rerank
[open_ended/linear] Q078: 5.32s gen, 0.027s retrieval, 0.089s rerank
[open_ended/linear] Q079: 5.78s gen, 0.030s retrieval, 0.086s rerank
[open_ended/linear] Q080: 7.93s gen, 0.019s retrieval, 0.110s rerank
[open_ended/linear] Q081: 0.00s gen, 0.019s retrieval, 0.290s rerank [ABSTAINED]
[open_ended/linear] Q082: 6.38s gen, 0.020s retrieval, 0.086s rerank
[open_ended/linear] Q083: 7.18s gen, 0.024s retrieval, 0.103s rerank
[open_ended/linear] Q084: 6.04s gen, 0.030s retrieval, 0.138s rerank
[open_ended/linear] Q085: 8.34s gen, 0.026s retrieval, 0.139s rerank
[open_ended/linear] Q086: 7.36s gen, 0.022s retrieval, 0.157s rerank
[open_ended/linear] Q087: 8.54s gen, 0.026s retrieval, 0.112s rerank
[open_ended/linear] Q088: 6.67s gen, 0.020s retrieval, 0.462s rerank
[open_ended/linear] Q089: 6.13s gen, 0.024s retrieval, 0.080s rerank
[open_ended/linear] Q090: 7.42s gen, 0.031s retrieval, 0.420s rerank
[open_ended/linear] Q091: 6.55s gen, 0.025s retrieval, 0.097s rerank
[open_ended/linear] Q092: 8.06s gen, 0.022s retrieval, 0.108s rerank
[open_ended/linear] Q093: 10.27s gen, 0.025s retrieval, 0.174s rerank
[open_ended/linear] Q094: 5.91s gen, 0.025s retrieval, 0.104s rerank
[open_ended/linear] Q095: 5.15s gen, 0.023s retrieval, 0.092s rerank
[open_ended/linear] Q096: 4.83s gen, 0.021s retrieval, 0.074s rerank
[open_ended/linear] Q097: 8.66s gen, 0.020s retrieval, 0.109s rerank
[open_ended/linear] Q098: 7.00s gen, 0.022s retrieval, 0.098s rerank
[open_ended/linear] Q099: 7.94s gen, 0.021s retrieval, 0.113s rerank
[open_ended/linear] Q100: 6.78s gen, 0.024s retrieval, 0.195s rerank
[entity_heavy/rrf] Q101: 4.67s gen, 0.017s retrieval, 0.146s rerank
[entity_heavy/rrf] Q102: 4.29s gen, 0.016s retrieval, 0.142s rerank
[entity_heavy/rrf] Q103: 4.02s gen, 0.016s retrieval, 0.141s rerank
[entity_heavy/rrf] Q104: 4.39s gen, 0.016s retrieval, 0.146s rerank
[entity_heavy/rrf] Q105: 3.73s gen, 0.024s retrieval, 0.058s rerank
[entity_heavy/rrf] Q106: 4.10s gen, 0.016s retrieval, 0.144s rerank
[entity_heavy/rrf] Q107: 5.82s gen, 0.022s retrieval, 0.075s rerank
[entity_heavy/rrf] Q108: 4.36s gen, 0.016s retrieval, 0.148s rerank
[entity_heavy/rrf] Q109: 4.03s gen, 0.018s retrieval, 0.056s rerank
[entity_heavy/rrf] Q110: 4.79s gen, 0.020s retrieval, 0.096s rerank
[entity_heavy/rrf] Q111: 5.51s gen, 0.016s retrieval, 0.140s rerank
[entity_heavy/rrf] Q112: 4.68s gen, 0.016s retrieval, 0.138s rerank
[entity_heavy/rrf] Q113: 3.78s gen, 0.018s retrieval, 0.050s rerank
[entity_heavy/rrf] Q114: 4.31s gen, 0.016s retrieval, 0.135s rerank
[entity_heavy/rrf] Q115: 4.62s gen, 0.016s retrieval, 0.144s rerank
[entity_heavy/rrf] Q116: 4.06s gen, 0.016s retrieval, 0.245s rerank
[entity_heavy/rrf] Q117: 5.37s gen, 0.016s retrieval, 0.143s rerank
[entity_heavy/rrf] Q118: 4.10s gen, 0.017s retrieval, 0.135s rerank
[entity_heavy/rrf] Q119: 3.94s gen, 0.015s retrieval, 0.150s rerank
[entity_heavy/rrf] Q120: 4.89s gen, 0.019s retrieval, 0.097s rerank
[entity_heavy/rrf] Q121: 5.64s gen, 0.019s retrieval, 0.089s rerank
[entity_heavy/rrf] Q122: 4.61s gen, 0.021s retrieval, 0.098s rerank
[entity_heavy/rrf] Q123: 5.17s gen, 0.016s retrieval, 0.142s rerank
[entity_heavy/rrf] Q124: 8.66s gen, 0.019s retrieval, 0.092s rerank
[entity_heavy/rrf] Q125: 5.35s gen, 0.016s retrieval, 0.145s rerank
[entity_heavy/rrf] Q126: 4.05s gen, 0.016s retrieval, 0.143s rerank
[entity_heavy/rrf] Q127: 5.00s gen, 0.018s retrieval, 0.094s rerank
[entity_heavy/rrf] Q128: 4.16s gen, 0.015s retrieval, 0.138s rerank
[entity_heavy/rrf] Q129: 4.28s gen, 0.019s retrieval, 0.113s rerank
[entity_heavy/rrf] Q130: 7.04s gen, 0.019s retrieval, 0.121s rerank
[entity_heavy/rrf] Q131: 4.53s gen, 0.017s retrieval, 0.104s rerank
[entity_heavy/rrf] Q132: 4.59s gen, 0.022s retrieval, 0.120s rerank
[entity_heavy/rrf] Q133: 4.66s gen, 0.019s retrieval, 0.104s rerank
[entity_heavy/rrf] Q134: 5.71s gen, 0.018s retrieval, 0.108s rerank
[entity_heavy/rrf] Q135: 4.06s gen, 0.017s retrieval, 0.119s rerank
[entity_heavy/rrf] Q136: 4.63s gen, 0.018s retrieval, 0.102s rerank
[entity_heavy/rrf] Q137: 4.07s gen, 0.016s retrieval, 0.116s rerank
[entity_heavy/rrf] Q138: 4.89s gen, 0.016s retrieval, 0.076s rerank
[entity_heavy/rrf] Q139: 4.10s gen, 0.017s retrieval, 0.114s rerank
[entity_heavy/rrf] Q140: 5.37s gen, 0.016s retrieval, 0.113s rerank
[entity_heavy/rrf] Q141: 4.09s gen, 0.017s retrieval, 0.102s rerank
[entity_heavy/rrf] Q142: 5.62s gen, 0.017s retrieval, 0.100s rerank
[entity_heavy/rrf] Q143: 7.56s gen, 0.017s retrieval, 0.088s rerank
[entity_heavy/rrf] Q144: 8.77s gen, 0.018s retrieval, 0.091s rerank
[entity_heavy/rrf] Q145: 8.45s gen, 0.017s retrieval, 0.097s rerank
[entity_heavy/rrf] Q146: 4.65s gen, 0.017s retrieval, 0.096s rerank
[entity_heavy/rrf] Q147: 4.89s gen, 0.018s retrieval, 0.085s rerank
[entity_heavy/rrf] Q148: 5.77s gen, 0.016s retrieval, 0.118s rerank
[entity_heavy/rrf] Q149: 4.97s gen, 0.017s retrieval, 0.075s rerank
[entity_heavy/rrf] Q150: 5.00s gen, 0.017s retrieval, 0.076s rerank
[entity_heavy/rrf] Q151: 5.43s gen, 0.021s retrieval, 0.165s rerank
[entity_heavy/rrf] Q152: 5.58s gen, 0.025s retrieval, 0.164s rerank
[entity_heavy/rrf] Q153: 5.08s gen, 0.023s retrieval, 0.133s rerank
[entity_heavy/rrf] Q154: 5.02s gen, 0.021s retrieval, 0.129s rerank
[entity_heavy/rrf] Q155: 5.26s gen, 0.022s retrieval, 0.124s rerank
[entity_heavy/rrf] Q156: 6.67s gen, 0.024s retrieval, 0.101s rerank
