python : 
At line:6 char:1
+ python -u scripts/run_novel_pipeline.py --use-reranker --out results/ ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4980.84it/s]

Loading weights:   0%|          | 0/105 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 105/105 [00:00<00:00, 5079.67it/s]
[open_ended/linear] Q073: 12.69s gen, 0.018s retrieval, 0.100s rerank
[open_ended/linear] Q074: 4.89s gen, 0.019s retrieval, 0.032s rerank
[open_ended/linear] Q075: 6.13s gen, 0.016s retrieval, 0.019s rerank
[open_ended/linear] Q076: 7.70s gen, 0.016s retrieval, 0.024s rerank
[open_ended/linear] Q077: 3.60s gen, 0.018s retrieval, 0.018s rerank
[open_ended/linear] Q078: 5.23s gen, 0.018s retrieval, 0.012s rerank
[open_ended/linear] Q079: 5.66s gen, 0.022s retrieval, 0.016s rerank
[open_ended/linear] Q080: 7.86s gen, 0.014s retrieval, 0.020s rerank
[open_ended/linear] Q081: 0.00s gen, 0.015s retrieval, 0.072s rerank [ABSTAINED]
[open_ended/linear] Q082: 6.40s gen, 0.017s retrieval, 0.029s rerank
[open_ended/linear] Q083: 7.40s gen, 0.019s retrieval, 0.024s rerank
[open_ended/linear] Q084: 7.69s gen, 0.024s retrieval, 0.036s rerank
[open_ended/linear] Q085: 8.22s gen, 0.022s retrieval, 0.031s rerank
[open_ended/linear] Q086: 7.31s gen, 0.019s retrieval, 0.028s rerank
[open_ended/linear] Q087: 8.40s gen, 0.018s retrieval, 0.027s rerank
[open_ended/linear] Q088: 6.82s gen, 0.018s retrieval, 0.120s rerank
[open_ended/linear] Q089: 6.26s gen, 0.023s retrieval, 0.019s rerank
[open_ended/linear] Q090: 7.35s gen, 0.027s retrieval, 0.032s rerank
[open_ended/linear] Q091: 6.68s gen, 0.019s retrieval, 0.025s rerank
[open_ended/linear] Q092: 8.04s gen, 0.021s retrieval, 0.022s rerank
[open_ended/linear] Q093: 9.83s gen, 0.022s retrieval, 0.045s rerank
[open_ended/linear] Q094: 5.86s gen, 0.020s retrieval, 0.034s rerank
[open_ended/linear] Q095: 5.23s gen, 0.022s retrieval, 0.020s rerank
[open_ended/linear] Q096: 4.77s gen, 0.017s retrieval, 0.016s rerank
[open_ended/linear] Q097: 8.52s gen, 0.017s retrieval, 0.017s rerank
[open_ended/linear] Q098: 6.87s gen, 0.021s retrieval, 0.029s rerank
[open_ended/linear] Q099: 8.05s gen, 0.018s retrieval, 0.027s rerank
[open_ended/linear] Q100: 6.66s gen, 0.019s retrieval, 0.045s rerank
[entity_heavy/rrf] Q101: 5.30s gen, 0.015s retrieval, 0.059s rerank
[entity_heavy/rrf] Q102: 4.34s gen, 0.017s retrieval, 0.017s rerank
[entity_heavy/rrf] Q103: 5.95s gen, 0.014s retrieval, 0.019s rerank
[entity_heavy/rrf] Q104: 5.32s gen, 0.014s retrieval, 0.033s rerank
[entity_heavy/rrf] Q105: 3.75s gen, 0.018s retrieval, 0.012s rerank
[entity_heavy/rrf] Q106: 4.60s gen, 0.015s retrieval, 0.017s rerank
[entity_heavy/rrf] Q107: 5.70s gen, 0.014s retrieval, 0.010s rerank
[entity_heavy/rrf] Q108: 4.41s gen, 0.013s retrieval, 0.029s rerank
[entity_heavy/rrf] Q109: 4.02s gen, 0.013s retrieval, 0.010s rerank
[entity_heavy/rrf] Q110: 4.58s gen, 0.014s retrieval, 0.011s rerank
[entity_heavy/rrf] Q111: 5.96s gen, 0.013s retrieval, 0.025s rerank
[entity_heavy/rrf] Q112: 5.04s gen, 0.013s retrieval, 0.027s rerank
[entity_heavy/rrf] Q113: 3.79s gen, 0.018s retrieval, 0.013s rerank
[entity_heavy/rrf] Q114: 4.56s gen, 0.014s retrieval, 0.023s rerank
[entity_heavy/rrf] Q115: 4.66s gen, 0.016s retrieval, 0.017s rerank
[entity_heavy/rrf] Q116: 4.58s gen, 0.019s retrieval, 0.024s rerank
[entity_heavy/rrf] Q117: 5.26s gen, 0.015s retrieval, 0.017s rerank
[entity_heavy/rrf] Q118: 4.36s gen, 0.012s retrieval, 0.025s rerank
[entity_heavy/rrf] Q119: 3.94s gen, 0.015s retrieval, 0.018s rerank
[entity_heavy/rrf] Q120: 5.18s gen, 0.021s retrieval, 0.013s rerank
[entity_heavy/rrf] Q121: 5.74s gen, 0.018s retrieval, 0.014s rerank
[entity_heavy/rrf] Q122: 4.87s gen, 0.015s retrieval, 0.013s rerank
[entity_heavy/rrf] Q123: 5.05s gen, 0.015s retrieval, 0.024s rerank
[entity_heavy/rrf] Q124: 7.86s gen, 0.016s retrieval, 0.012s rerank
[entity_heavy/rrf] Q125: 5.17s gen, 0.017s retrieval, 0.040s rerank
[entity_heavy/rrf] Q126: 4.46s gen, 0.016s retrieval, 0.025s rerank
[entity_heavy/rrf] Q127: 4.80s gen, 0.018s retrieval, 0.011s rerank
[entity_heavy/rrf] Q128: 4.09s gen, 0.015s retrieval, 0.022s rerank
[entity_heavy/rrf] Q129: 4.01s gen, 0.020s retrieval, 0.010s rerank
[entity_heavy/rrf] Q130: 4.97s gen, 0.015s retrieval, 0.011s rerank
[entity_heavy/rrf] Q131: 4.07s gen, 0.016s retrieval, 0.019s rerank
[entity_heavy/rrf] Q132: 4.06s gen, 0.015s retrieval, 0.014s rerank
[entity_heavy/rrf] Q133: 4.08s gen, 0.019s retrieval, 0.015s rerank
[entity_heavy/rrf] Q134: 3.97s gen, 0.017s retrieval, 0.013s rerank
[entity_heavy/rrf] Q135: 3.95s gen, 0.016s retrieval, 0.014s rerank
[entity_heavy/rrf] Q136: 4.02s gen, 0.018s retrieval, 0.014s rerank
[entity_heavy/rrf] Q137: 4.00s gen, 0.013s retrieval, 0.015s rerank
[entity_heavy/rrf] Q138: 4.79s gen, 0.014s retrieval, 0.012s rerank
[entity_heavy/rrf] Q139: 5.52s gen, 0.016s retrieval, 0.018s rerank
[entity_heavy/rrf] Q140: 5.36s gen, 0.015s retrieval, 0.021s rerank
[entity_heavy/rrf] Q141: 4.19s gen, 0.017s retrieval, 0.021s rerank
[entity_heavy/rrf] Q142: 5.44s gen, 0.018s retrieval, 0.013s rerank
[entity_heavy/rrf] Q143: 4.80s gen, 0.016s retrieval, 0.017s rerank
[entity_heavy/rrf] Q144: 7.48s gen, 0.015s retrieval, 0.012s rerank
[entity_heavy/rrf] Q145: 8.15s gen, 0.014s retrieval, 0.026s rerank
[entity_heavy/rrf] Q146: 5.48s gen, 0.015s retrieval, 0.032s rerank
[entity_heavy/rrf] Q147: 5.09s gen, 0.014s retrieval, 0.016s rerank
[entity_heavy/rrf] Q148: 3.92s gen, 0.014s retrieval, 0.019s rerank
[entity_heavy/rrf] Q149: 4.75s gen, 0.019s retrieval, 0.012s rerank
[entity_heavy/rrf] Q150: 6.94s gen, 0.013s retrieval, 0.015s rerank
[entity_heavy/rrf] Q151: 5.03s gen, 0.022s retrieval, 0.040s rerank
[entity_heavy/rrf] Q152: 4.86s gen, 0.022s retrieval, 0.027s rerank
[entity_heavy/rrf] Q153: 5.55s gen, 0.024s retrieval, 0.020s rerank
[entity_heavy/rrf] Q154: 5.42s gen, 0.020s retrieval, 0.026s rerank
[entity_heavy/rrf] Q155: 4.92s gen, 0.017s retrieval, 0.029s rerank
[entity_heavy/rrf] Q156: 4.92s gen, 0.018s retrieval, 0.017s rerank
[entity_heavy/rrf] Q157: 5.50s gen, 0.017s retrieval, 0.025s rerank
[entity_heavy/rrf] Q158: 4.86s gen, 0.018s retrieval, 0.014s rerank
[entity_heavy/rrf] Q159: 5.74s gen, 0.023s retrieval, 0.029s rerank
[entity_heavy/rrf] Q160: 4.84s gen, 0.020s retrieval, 0.034s rerank
[entity_heavy/rrf] Q161: 4.74s gen, 0.022s retrieval, 0.010s rerank
[entity_heavy/rrf] Q162: 4.87s gen, 0.021s retrieval, 0.016s rerank
[entity_heavy/rrf] Q163: 4.73s gen, 0.021s retrieval, 0.020s rerank
[entity_heavy/rrf] Q164: 5.22s gen, 0.020s retrieval, 0.027s rerank
[entity_heavy/rrf] Q165: 4.98s gen, 0.018s retrieval, 0.032s rerank
[entity_heavy/rrf] Q166: 9.05s gen, 0.022s retrieval, 0.034s rerank
[entity_heavy/rrf] Q167: 6.41s gen, 0.017s retrieval, 0.050s rerank
[entity_heavy/rrf] Q168: 5.49s gen, 0.017s retrieval, 0.069s rerank
[entity_heavy/rrf] Q169: 5.12s gen, 0.018s retrieval, 0.019s rerank
[entity_heavy/rrf] Q170: 5.18s gen, 0.019s retrieval, 0.038s rerank
[entity_heavy/rrf] Q171: 5.00s gen, 0.019s retrieval, 0.022s rerank
[entity_heavy/rrf] Q172: 5.16s gen, 0.020s retrieval, 0.037s rerank
[entity_heavy/rrf] Q173: 5.89s gen, 0.016s retrieval, 0.027s rerank
[entity_heavy/rrf] Q174: 5.27s gen, 0.017s retrieval, 0.031s rerank
[entity_heavy/rrf] Q175: 5.16s gen, 0.017s retrieval, 0.055s rerank
[entity_heavy/rrf] Q176: 4.97s gen, 0.021s retrieval, 0.020s rerank
[entity_heavy/rrf] Q177: 4.84s gen, 0.019s retrieval, 0.024s rerank
[entity_heavy/rrf] Q178: 5.50s gen, 0.021s retrieval, 0.028s rerank
[entity_heavy/rrf] Q179: 5.23s gen, 0.019s retrieval, 0.041s rerank
[entity_heavy/rrf] Q180: 5.28s gen, 0.018s retrieval, 0.023s rerank
[entity_heavy/rrf] Q181: 4.13s gen, 0.021s retrieval, 0.013s rerank
[entity_heavy/rrf] Q182: 5.25s gen, 0.028s retrieval, 0.014s rerank
[entity_heavy/rrf] Q183: 5.22s gen, 0.019s retrieval, 0.024s rerank
[entity_heavy/rrf] Q184: 5.33s gen, 0.018s retrieval, 0.025s rerank
[entity_heavy/rrf] Q185: 5.08s gen, 0.019s retrieval, 0.029s rerank
[entity_heavy/rrf] Q186: 3.65s gen, 0.015s retrieval, 0.015s rerank
[entity_heavy/rrf] Q187: 5.17s gen, 0.016s retrieval, 0.020s rerank
[entity_heavy/rrf] Q188: 4.50s gen, 0.018s retrieval, 0.013s rerank
[entity_heavy/rrf] Q189: 5.79s gen, 0.016s retrieval, 0.023s rerank
[entity_heavy/rrf] Q190: 5.69s gen, 0.016s retrieval, 0.021s rerank
[entity_heavy/rrf] Q191: 4.38s gen, 0.014s retrieval, 0.034s rerank
[entity_heavy/rrf] Q192: 4.35s gen, 0.014s retrieval, 0.013s rerank
[entity_heavy/rrf] Q193: 5.28s gen, 0.016s retrieval, 0.020s rerank
[entity_heavy/rrf] Q194: 4.25s gen, 0.016s retrieval, 0.028s rerank
[entity_heavy/rrf] Q195: 5.23s gen, 0.017s retrieval, 0.050s rerank
[entity_heavy/rrf] Q196: 4.91s gen, 0.019s retrieval, 0.018s rerank
[entity_heavy/rrf] Q197: 4.13s gen, 0.020s retrieval, 0.028s rerank
[entity_heavy/rrf] Q198: 5.23s gen, 0.016s retrieval, 0.022s rerank
[entity_heavy/rrf] Q199: 5.22s gen, 0.017s retrieval, 0.018s rerank
[entity_heavy/rrf] Q200: 4.48s gen, 0.020s retrieval, 0.027s rerank
Wrote metadata to results\novel_pipeline_raw_outputs_roundL_reranker_metadata.json
Wrote 200 rows to results\novel_pipeline_raw_outputs_roundL_reranker.csv (1 abstained)
