.\.venv\Scripts\python.exe : 
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_novel_pipeline.py --no-reranke ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 6869.68it/s]
[open_ended/linear] Q074: 4.85s gen, 0.027s retrieval, 0.000s rerank
[open_ended/linear] Q075: 5.18s gen, 0.027s retrieval, 0.000s rerank
[open_ended/linear] Q076: 7.70s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q077: 3.70s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] Q078: 5.24s gen, 0.026s retrieval, 0.000s rerank
[open_ended/linear] Q079: 6.43s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] Q080: 8.05s gen, 0.019s retrieval, 0.000s rerank
[open_ended/linear] Q081: 0.00s gen, 0.016s retrieval, 0.000s rerank [ABSTAINED]
[open_ended/linear] Q082: 6.36s gen, 0.024s retrieval, 0.000s rerank
[open_ended/linear] Q083: 7.39s gen, 0.025s retrieval, 0.000s rerank
[open_ended/linear] Q084: 6.05s gen, 0.028s retrieval, 0.000s rerank
[open_ended/linear] Q085: 8.22s gen, 0.026s retrieval, 0.000s rerank
[open_ended/linear] Q086: 7.39s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] Q087: 8.65s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] Q088: 7.19s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] Q089: 6.39s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] Q090: 7.28s gen, 0.027s retrieval, 0.000s rerank
[open_ended/linear] Q091: 6.59s gen, 0.024s retrieval, 0.000s rerank
[open_ended/linear] Q092: 8.23s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] Q093: 10.19s gen, 0.025s retrieval, 0.000s rerank
[open_ended/linear] Q094: 5.88s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] Q095: 5.17s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] Q096: 4.81s gen, 0.020s retrieval, 0.000s rerank
[open_ended/linear] Q097: 8.73s gen, 0.021s retrieval, 0.000s rerank
[open_ended/linear] Q098: 6.95s gen, 0.023s retrieval, 0.000s rerank
[open_ended/linear] Q099: 8.24s gen, 0.022s retrieval, 0.000s rerank
[open_ended/linear] Q100: 6.97s gen, 0.023s retrieval, 0.000s rerank
[entity_heavy/rrf] Q101: 5.37s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q102: 4.71s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q103: 4.78s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q104: 4.97s gen, 0.023s retrieval, 0.000s rerank
[entity_heavy/rrf] Q105: 3.80s gen, 0.025s retrieval, 0.000s rerank
[entity_heavy/rrf] Q106: 3.99s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q107: 5.81s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q108: 4.33s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q109: 4.03s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q110: 4.89s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q111: 5.28s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q112: 5.40s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q113: 3.83s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q114: 4.79s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q115: 4.57s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q116: 3.86s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q117: 4.58s gen, 0.015s retrieval, 0.000s rerank
[entity_heavy/rrf] Q118: 3.68s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q119: 3.86s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q120: 4.81s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q121: 5.61s gen, 0.021s retrieval, 0.000s rerank
[entity_heavy/rrf] Q122: 4.24s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q123: 4.55s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q124: 4.44s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q125: 3.83s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q126: 4.03s gen, 0.015s retrieval, 0.000s rerank
[entity_heavy/rrf] Q127: 4.76s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q128: 3.95s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q129: 3.95s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q130: 5.10s gen, 0.020s retrieval, 0.000s rerank
[entity_heavy/rrf] Q131: 4.03s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q132: 3.97s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q133: 3.98s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q134: 3.87s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q135: 3.84s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q136: 3.89s gen, 0.019s retrieval, 0.000s rerank
[entity_heavy/rrf] Q137: 3.84s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q138: 4.70s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q139: 3.84s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q140: 4.42s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q141: 4.01s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q142: 3.68s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q143: 6.47s gen, 0.018s retrieval, 0.000s rerank
[entity_heavy/rrf] Q144: 7.99s gen, 0.016s retrieval, 0.000s rerank
[entity_heavy/rrf] Q145: 8.19s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q146: 4.29s gen, 0.017s retrieval, 0.000s rerank
[entity_heavy/rrf] Q147: 4.82s gen, 0.056s retrieval, 0.000s rerank
