query_id,config,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q176,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q177,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q178,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q179,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q180,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q181,adaptive_deconfounded,1.0,1.0,1.0,1.0,0.46927872602275644,0.7461976723150332
Q182,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q183,adaptive_deconfounded,1.0,1.0,1.0,1.0,0.8539316501572937,0.9705437052559006
Q184,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q185,adaptive_deconfounded,0.0,0.0,0.0,0.16666666666666666,0.0,0.3562071871080222
Q186,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q187,adaptive_deconfounded,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q188,adaptive_deconfounded,0.0,1.0,1.0,0.5,0.6240505200038379,0.6240505200038379
Q189,adaptive_deconfounded,1.0,1.0,1.0,1.0,0.6131471927654584,0.8315546295836225
Q190,adaptive_deconfounded,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q191,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q192,adaptive_deconfounded,1.0,1.0,1.0,1.0,0.6713860725233041,0.8385465274895063
Q193,adaptive_deconfounded,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q194,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q195,adaptive_deconfounded,0.0,0.0,1.0,0.2,0.13120507751234178,0.5741603094598835
Q196,adaptive_deconfounded,0.0,0.0,1.0,0.2,0.38685280723454163,0.38685280723454163
Q197,adaptive_deconfounded,1.0,1.0,1.0,1.0,0.8318724637288826,0.9709286432396583
Q198,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q199,adaptive_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q200,adaptive_deconfounded,1.0,1.0,1.0,1.0,0.7095272044910244,0.8485833840018
Q101,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q102,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.6508205185601091,0.8179809735263114
Q103,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q104,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q105,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q106,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q107,full_hybrid_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q108,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q109,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.9558295932317544,0.9558295932317544
Q110,full_hybrid_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q111,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q112,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q113,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q114,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q115,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q116,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q117,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q118,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q119,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q120,full_hybrid_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q121,full_hybrid_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q122,full_hybrid_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q123,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q124,full_hybrid_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q125,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q126,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q127,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q128,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.8539316501572937,0.9705437052559006
Q129,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q130,full_hybrid_deconfounded,0.0,0.0,0.0,0.0,0.0,0.0
Q131,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q132,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q133,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q134,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q135,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.6131471927654584,0.8175295903539445
Q136,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q137,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q138,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q139,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q140,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q141,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q142,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.6131471927654584,0.7903864795495061
Q143,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q144,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q145,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q146,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q147,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q148,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q149,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q150,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q151,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.830419897363192,0.9219403931203303
Q152,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q153,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q154,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.3391602052736161,0.7593434203530205
Q155,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q156,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q157,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q158,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q159,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.4703652827859579,0.8196683128314594
Q160,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q161,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q162,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q163,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q164,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q165,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,0.7860137352654724,0.8859509025892361
Q166,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,0.9937947856332161
Q167,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q168,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q169,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q170,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
Q171,full_hybrid_deconfounded,1.0,1.0,1.0,1.0,1.0,1.0
