query_id,config,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q016,full_hybrid_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q016,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q017,vector_only_baseline,1.0,1.0,1.0,1.0,0.7653606369886217,0.9325210919548239
Q017,vector_only_grounded_prf,1.0,1.0,1.0,1.0,0.7653606369886217,0.9325210919548239
Q017,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q017,full_hybrid_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q017,bm25_only,1.0,1.0,1.0,1.0,0.7653606369886217,0.9010126104210695
Q018,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,0.9842184869190973
Q018,vector_only_grounded_prf,1.0,1.0,1.0,1.0,0.8687949224876582,0.9770153702993118
Q018,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.8687949224876582,0.9770153702993118
Q018,full_hybrid_grounded_prf,1.0,1.0,1.0,1.0,0.8687949224876582,0.9770153702993118
Q018,bm25_only,1.0,1.0,1.0,1.0,0.8539316501572937,0.9667147927059906
Q019,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q019,vector_only_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q019,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q019,full_hybrid_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q019,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q020,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q020,vector_only_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q020,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q020,full_hybrid_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q020,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q021,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q021,vector_only_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q021,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q021,full_hybrid_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q021,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q022,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q022,vector_only_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q022,full_hybrid_baseline,1.0,1.0,1.0,1.0,0.8318724637288826,0.9619991470595832
Q022,full_hybrid_grounded_prf,1.0,1.0,1.0,1.0,0.8318724637288826,0.9619991470595832
Q022,bm25_only,1.0,1.0,1.0,1.0,0.9674679834891693,0.9674679834891693
Q023,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q023,vector_only_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q023,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q023,full_hybrid_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q023,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q024,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q024,vector_only_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q024,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q024,full_hybrid_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q024,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q025,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q025,vector_only_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q025,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q025,full_hybrid_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q025,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
Q026,vector_only_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q026,vector_only_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q026,full_hybrid_baseline,1.0,1.0,1.0,1.0,1.0,1.0
Q026,full_hybrid_grounded_prf,1.0,1.0,1.0,1.0,1.0,1.0
Q026,bm25_only,1.0,1.0,1.0,1.0,1.0,1.0
