subset,lambda,comparison,metric,n,mean_diff,p_value,significant_at_0.05
entity_heavy,0.2,vs_bm25_only,rougeL,30,0.0323,0.3626,False
entity_heavy,0.2,vs_bm25_only,bertscore,30,0.0073,0.2266,False
entity_heavy,0.2,vs_bm25_only,meteor,30,-0.0177,0.5828,False
entity_heavy,0.2,vs_vector_only,bleu,30,0.0247,0.3169,False
entity_heavy,0.2,vs_vector_only,rougeL,30,0.0266,0.2292,False
entity_heavy,0.2,vs_vector_only,bertscore,30,0.0014,0.6411,False
entity_heavy,0.2,vs_vector_only,meteor,30,0.0279,0.0757,False
entity_heavy,0.3,vs_bm25_only,bleu,30,-0.0142,0.7888,False
entity_heavy,0.3,vs_bm25_only,rougeL,30,0.0285,0.4204,False
entity_heavy,0.3,vs_bm25_only,bertscore,30,0.0073,0.2246,False
entity_heavy,0.3,vs_bm25_only,meteor,30,-0.0234,0.4599,False
entity_heavy,0.3,vs_vector_only,bleu,30,0.017,0.4873,False
entity_heavy,0.3,vs_vector_only,rougeL,30,0.0228,0.3251,False
entity_heavy,0.3,vs_vector_only,bertscore,30,0.0015,0.6325,False
entity_heavy,0.3,vs_vector_only,meteor,30,0.0223,0.2106,False
entity_heavy,0.4,vs_bm25_only,bleu,30,0.0242,0.5852,False
entity_heavy,0.4,vs_bm25_only,rougeL,30,0.0161,0.5465,False
entity_heavy,0.4,vs_bm25_only,bertscore,30,0.0009,0.7736,False
entity_heavy,0.4,vs_bm25_only,meteor,30,-0.0035,0.8811,False
entity_heavy,0.4,vs_vector_only,bleu,30,0.0554,0.193,False
entity_heavy,0.4,vs_vector_only,rougeL,30,0.0104,0.7853,False
entity_heavy,0.4,vs_vector_only,bertscore,30,-0.0049,0.4352,False
entity_heavy,0.4,vs_vector_only,meteor,30,0.0422,0.269,False
entity_heavy,0.5,vs_bm25_only,bleu,30,-0.0494,0.0766,False
entity_heavy,0.5,vs_bm25_only,rougeL,30,-0.0264,0.2481,False
entity_heavy,0.5,vs_bm25_only,bertscore,30,-0.0049,0.152,False
entity_heavy,0.5,vs_bm25_only,meteor,30,-0.0263,0.0651,False
entity_heavy,0.5,vs_vector_only,bleu,30,-0.0181,0.7527,False
entity_heavy,0.5,vs_vector_only,rougeL,30,-0.0321,0.4606,False
entity_heavy,0.5,vs_vector_only,bertscore,30,-0.0108,0.132,False
entity_heavy,0.5,vs_vector_only,meteor,30,0.0194,0.6233,False
entity_heavy,0.6,vs_bm25_only,bleu,30,-0.0417,0.0908,False
entity_heavy,0.6,vs_bm25_only,rougeL,30,-0.0159,0.4089,False
entity_heavy,0.6,vs_bm25_only,bertscore,30,-0.0035,0.2112,False
entity_heavy,0.6,vs_bm25_only,meteor,30,-0.0245,0.0639,False
entity_heavy,0.6,vs_vector_only,bleu,30,-0.0105,0.8517,False
entity_heavy,0.6,vs_vector_only,rougeL,30,-0.0216,0.6047,False
entity_heavy,0.6,vs_vector_only,bertscore,30,-0.0093,0.1759,False
entity_heavy,0.6,vs_vector_only,meteor,30,0.0211,0.587,False
entity_heavy,0.7,vs_bm25_only,bleu,30,-0.045,0.066,False
entity_heavy,0.7,vs_bm25_only,rougeL,30,-0.0196,0.2869,False
entity_heavy,0.7,vs_bm25_only,bertscore,30,-0.004,0.1327,False
entity_heavy,0.7,vs_bm25_only,meteor,30,-0.0327,0.0262,True
entity_heavy,0.7,vs_vector_only,bleu,30,-0.0137,0.8036,False
entity_heavy,0.7,vs_vector_only,rougeL,30,-0.0253,0.5434,False
entity_heavy,0.7,vs_vector_only,bertscore,30,-0.0098,0.1465,False
entity_heavy,0.7,vs_vector_only,meteor,30,0.0129,0.7231,False
entity_heavy,0.8,vs_bm25_only,bleu,30,-0.045,0.066,False
entity_heavy,0.8,vs_bm25_only,rougeL,30,-0.0196,0.2869,False
entity_heavy,0.8,vs_bm25_only,bertscore,30,-0.004,0.1327,False
entity_heavy,0.8,vs_bm25_only,meteor,30,-0.0327,0.0262,True
entity_heavy,0.8,vs_vector_only,bleu,30,-0.0137,0.8036,False
entity_heavy,0.8,vs_vector_only,rougeL,30,-0.0253,0.5434,False
entity_heavy,0.8,vs_vector_only,bertscore,30,-0.0098,0.1465,False
entity_heavy,0.8,vs_vector_only,meteor,30,0.0129,0.7231,False
entity_heavy,0.9,vs_bm25_only,bleu,30,-0.0431,0.0787,False
entity_heavy,0.9,vs_bm25_only,rougeL,30,-0.0243,0.1761,False
entity_heavy,0.9,vs_bm25_only,bertscore,30,-0.0043,0.1004,False
entity_heavy,0.9,vs_bm25_only,meteor,30,-0.0182,0.0955,False
entity_heavy,0.9,vs_vector_only,bleu,30,-0.0118,0.831,False
entity_heavy,0.9,vs_vector_only,rougeL,30,-0.03,0.476,False
entity_heavy,0.9,vs_vector_only,bertscore,30,-0.0102,0.1307,False
entity_heavy,0.9,vs_vector_only,meteor,30,0.0274,0.4669,False
open_ended,0.1,vs_bm25_only,bleu,30,0.0533,0.1974,False
open_ended,0.1,vs_bm25_only,rougeL,30,0.0294,0.3627,False
open_ended,0.1,vs_bm25_only,bertscore,30,0.0043,0.2289,False
open_ended,0.1,vs_bm25_only,meteor,30,0.016,0.6202,False
open_ended,0.1,vs_vector_only,bleu,30,-0.0347,0.112,False
open_ended,0.1,vs_vector_only,rougeL,30,-0.0301,0.1552,False
open_ended,0.1,vs_vector_only,bertscore,30,-0.003,0.1458,False
open_ended,0.1,vs_vector_only,meteor,30,-0.0307,0.2139,False
open_ended,0.2,vs_bm25_only,bleu,30,0.0783,0.0227,True
open_ended,0.2,vs_bm25_only,rougeL,30,0.0521,0.0175,True
open_ended,0.2,vs_bm25_only,bertscore,30,0.0067,0.0188,True
open_ended,0.2,vs_bm25_only,meteor,30,0.0389,0.0463,True
open_ended,0.2,vs_vector_only,bleu,30,-0.0096,0.4801,False
open_ended,0.2,vs_vector_only,rougeL,30,-0.0075,0.4591,False
open_ended,0.2,vs_vector_only,bertscore,30,-0.0006,0.4355,False
open_ended,0.2,vs_vector_only,meteor,30,-0.0078,0.1307,False
open_ended,0.3,vs_bm25_only,bleu,30,0.1047,0.0077,True
open_ended,0.3,vs_bm25_only,rougeL,30,0.0762,0.0096,True
open_ended,0.3,vs_bm25_only,bertscore,30,0.0097,0.0084,True
open_ended,0.3,vs_bm25_only,meteor,30,0.0561,0.0126,True
open_ended,0.3,vs_vector_only,bleu,30,0.0167,0.5034,False
open_ended,0.3,vs_vector_only,rougeL,30,0.0166,0.4707,False
open_ended,0.3,vs_vector_only,bertscore,30,0.0024,0.3614,False
open_ended,0.3,vs_vector_only,meteor,30,0.0094,0.4558,False
open_ended,0.4,vs_bm25_only,bleu,30,0.0714,0.179,False
open_ended,0.4,vs_bm25_only,rougeL,30,0.0428,0.3508,False
open_ended,0.4,vs_bm25_only,bertscore,30,0.0036,0.6304,False
open_ended,0.4,vs_bm25_only,meteor,30,0.0227,0.5837,False
open_ended,0.4,vs_vector_only,bleu,30,-0.0166,0.6952,False
open_ended,0.4,vs_vector_only,rougeL,30,-0.0167,0.6847,False
open_ended,0.4,vs_vector_only,bertscore,30,-0.0038,0.5808,False
open_ended,0.4,vs_vector_only,meteor,30,-0.024,0.5095,False
open_ended,0.5,vs_bm25_only,bleu,30,0.0401,0.3831,False
open_ended,0.5,vs_bm25_only,rougeL,30,0.0272,0.5297,False
open_ended,0.5,vs_bm25_only,bertscore,30,0.0009,0.9025,False
open_ended,0.5,vs_bm25_only,meteor,30,0.0028,0.9422,False
open_ended,0.5,vs_vector_only,bleu,30,-0.0479,0.3319,False
open_ended,0.5,vs_vector_only,rougeL,30,-0.0324,0.4555,False
open_ended,0.5,vs_vector_only,bertscore,30,-0.0064,0.3645,False
open_ended,0.5,vs_vector_only,meteor,30,-0.0439,0.2664,False
open_ended,0.6,vs_bm25_only,bleu,30,0.0009,0.9827,False
open_ended,0.6,vs_bm25_only,rougeL,30,-0.0166,0.6417,False
open_ended,0.6,vs_bm25_only,bertscore,30,-0.0035,0.5864,False
open_ended,0.6,vs_bm25_only,meteor,30,-0.022,0.5277,False
open_ended,0.6,vs_vector_only,bleu,30,-0.0871,0.0585,False
open_ended,0.6,vs_vector_only,rougeL,30,-0.0761,0.0657,False
open_ended,0.6,vs_vector_only,bertscore,30,-0.0108,0.1096,False
open_ended,0.6,vs_vector_only,meteor,30,-0.0687,0.0773,False
open_ended,0.7,vs_bm25_only,bleu,30,0.0038,0.8247,False
open_ended,0.7,vs_bm25_only,rougeL,30,-0.0001,0.992,False
open_ended,0.7,vs_bm25_only,bertscore,30,-0.0004,0.8203,False
open_ended,0.7,vs_bm25_only,meteor,30,0.0005,0.9309,False
open_ended,0.7,vs_vector_only,bleu,30,-0.0842,0.0303,True
open_ended,0.7,vs_vector_only,rougeL,30,-0.0597,0.0316,True
open_ended,0.7,vs_vector_only,bertscore,30,-0.0077,0.0327,True
open_ended,0.7,vs_vector_only,meteor,30,-0.0462,0.0294,True
open_ended,0.8,vs_bm25_only,bleu,30,0.0038,0.8247,False
open_ended,0.8,vs_bm25_only,rougeL,30,-0.0001,0.992,False
open_ended,0.8,vs_bm25_only,bertscore,30,-0.0004,0.8203,False
open_ended,0.8,vs_bm25_only,meteor,30,0.0005,0.9309,False
open_ended,0.8,vs_vector_only,bleu,30,-0.0842,0.0303,True
open_ended,0.8,vs_vector_only,rougeL,30,-0.0597,0.0316,True
open_ended,0.8,vs_vector_only,bertscore,30,-0.0077,0.0327,True
open_ended,0.8,vs_vector_only,meteor,30,-0.0462,0.0294,True
open_ended,0.9,vs_bm25_only,bleu,30,0.001,0.9504,False
open_ended,0.9,vs_bm25_only,rougeL,30,-0.0024,0.8617,False
open_ended,0.9,vs_bm25_only,bertscore,30,-0.0006,0.7244,False
open_ended,0.9,vs_bm25_only,meteor,30,-0.0012,0.8349,False
open_ended,0.9,vs_vector_only,bleu,30,-0.0869,0.0301,True
open_ended,0.9,vs_vector_only,rougeL,30,-0.0619,0.0302,True
open_ended,0.9,vs_vector_only,bertscore,30,-0.0079,0.0316,True
open_ended,0.9,vs_vector_only,meteor,30,-0.0479,0.0307,True
