.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[full_hybrid] Q096: 4.82s gen, 0.021s retrieval
[full_hybrid] Q097: 8.89s gen, 0.020s retrieval
[full_hybrid] Q098: 6.99s gen, 0.022s retrieval
[full_hybrid] Q099: 8.24s gen, 0.026s retrieval
[full_hybrid] Q100: 7.17s gen, 0.026s retrieval
[full_hybrid] Q101: 5.14s gen, 0.018s retrieval
[full_hybrid] Q102: 4.40s gen, 0.019s retrieval
[full_hybrid] Q103: 5.66s gen, 0.016s retrieval
[full_hybrid] Q104: 4.54s gen, 0.018s retrieval
[full_hybrid] Q105: 3.78s gen, 0.032s retrieval
[full_hybrid] Q106: 4.12s gen, 0.017s retrieval
[full_hybrid] Q107: 5.15s gen, 0.020s retrieval
[full_hybrid] Q108: 4.41s gen, 0.017s retrieval
[full_hybrid] Q109: 3.83s gen, 0.018s retrieval
[full_hybrid] Q110: 4.76s gen, 0.020s retrieval
[full_hybrid] Q111: 5.54s gen, 0.015s retrieval
[full_hybrid] Q112: 4.84s gen, 0.016s retrieval
[full_hybrid] Q113: 3.79s gen, 0.020s retrieval
[full_hybrid] Q114: 5.31s gen, 0.016s retrieval
[full_hybrid] Q115: 4.77s gen, 0.018s retrieval
[full_hybrid] Q116: 4.39s gen, 0.018s retrieval
[full_hybrid] Q117: 5.56s gen, 0.017s retrieval
[full_hybrid] Q118: 4.02s gen, 0.016s retrieval
[full_hybrid] Q119: 4.04s gen, 0.017s retrieval
[full_hybrid] Q120: 4.59s gen, 0.020s retrieval
[full_hybrid] Q121: 5.29s gen, 0.021s retrieval
[full_hybrid] Q122: 4.17s gen, 0.022s retrieval
[full_hybrid] Q123: 5.32s gen, 0.018s retrieval
[full_hybrid] Q124: 4.94s gen, 0.019s retrieval
[full_hybrid] Q125: 6.73s gen, 0.016s retrieval
[full_hybrid] Q126: 4.26s gen, 0.017s retrieval
[full_hybrid] Q127: 4.53s gen, 0.021s retrieval
[full_hybrid] Q128: 4.15s gen, 0.017s retrieval
[full_hybrid] Q129: 4.37s gen, 0.020s retrieval
[full_hybrid] Q130: 5.68s gen, 0.019s retrieval
[full_hybrid] Q131: 4.05s gen, 0.018s retrieval
[full_hybrid] Q132: 4.13s gen, 0.016s retrieval
[full_hybrid] Q133: 4.06s gen, 0.017s retrieval
[full_hybrid] Q134: 3.99s gen, 0.018s retrieval
[full_hybrid] Q135: 3.92s gen, 0.018s retrieval
[full_hybrid] Q136: 4.04s gen, 0.017s retrieval
[full_hybrid] Q137: 4.07s gen, 0.017s retrieval
[full_hybrid] Q138: 4.76s gen, 0.017s retrieval
[full_hybrid] Q139: 3.99s gen, 0.018s retrieval
[full_hybrid] Q140: 4.87s gen, 0.017s retrieval
[full_hybrid] Q141: 4.21s gen, 0.017s retrieval
[full_hybrid] Q142: 3.85s gen, 0.017s retrieval
[full_hybrid] Q143: 6.83s gen, 0.019s retrieval
[full_hybrid] Q144: 7.78s gen, 0.018s retrieval
[full_hybrid] Q145: 8.93s gen, 0.018s retrieval
[full_hybrid] Q146: 4.14s gen, 0.017s retrieval
[full_hybrid] Q147: 4.96s gen, 0.017s retrieval
[full_hybrid] Q148: 4.07s gen, 0.017s retrieval
[full_hybrid] Q149: 4.93s gen, 0.019s retrieval
[full_hybrid] Q150: 7.16s gen, 0.018s retrieval
[full_hybrid] Q151: 5.31s gen, 0.022s retrieval
[full_hybrid] Q152: 5.21s gen, 0.024s retrieval
[full_hybrid] Q153: 5.79s gen, 0.022s retrieval
[full_hybrid] Q154: 5.05s gen, 0.032s retrieval
[full_hybrid] Q155: 4.76s gen, 0.022s retrieval
[full_hybrid] Q156: 4.89s gen, 0.021s retrieval
[full_hybrid] Q157: 6.00s gen, 0.021s retrieval
[full_hybrid] Q158: 4.84s gen, 0.023s retrieval
[full_hybrid] Q159: 5.56s gen, 0.021s retrieval
[full_hybrid] Q160: 4.82s gen, 0.026s retrieval
[full_hybrid] Q161: 4.64s gen, 0.023s retrieval
[full_hybrid] Q162: 4.97s gen, 0.021s retrieval
[full_hybrid] Q163: 5.86s gen, 0.022s retrieval
[full_hybrid] Q164: 5.99s gen, 0.022s retrieval
[full_hybrid] Q165: 5.44s gen, 0.022s retrieval
[full_hybrid] Q166: 6.35s gen, 0.020s retrieval
[full_hybrid] Q167: 5.31s gen, 0.022s retrieval
[full_hybrid] Q168: 5.37s gen, 0.021s retrieval
[full_hybrid] Q169: 5.51s gen, 0.019s retrieval
[full_hybrid] Q170: 5.31s gen, 0.020s retrieval
[full_hybrid] Q171: 8.15s gen, 0.020s retrieval
[full_hybrid] Q172: 5.48s gen, 0.021s retrieval
[full_hybrid] Q173: 5.22s gen, 0.019s retrieval
[full_hybrid] Q174: 6.18s gen, 0.019s retrieval
[full_hybrid] Q175: 5.30s gen, 0.022s retrieval
[full_hybrid] Q176: 5.19s gen, 0.019s retrieval
[full_hybrid] Q177: 5.16s gen, 0.020s retrieval
[full_hybrid] Q178: 6.08s gen, 0.020s retrieval
[full_hybrid] Q179: 5.42s gen, 0.020s retrieval
