Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|##########| 103/103 [00:00<00:00, 5007.92it/s]
[full_hybrid] Q105: 3.77s gen, 0.018s retrieval
[full_hybrid] Q106: 4.02s gen, 0.015s retrieval
[full_hybrid] Q107: 5.05s gen, 0.018s retrieval
[full_hybrid] Q108: 4.47s gen, 0.017s retrieval
[full_hybrid] Q109: 4.09s gen, 0.021s retrieval
[full_hybrid] Q110: 4.57s gen, 0.018s retrieval
[full_hybrid] Q111: 6.19s gen, 0.015s retrieval
[full_hybrid] Q112: 5.44s gen, 0.019s retrieval
[full_hybrid] Q113: 3.85s gen, 0.021s retrieval
[full_hybrid] Q114: 5.46s gen, 0.018s retrieval
[full_hybrid] Q115: 4.90s gen, 0.016s retrieval
[full_hybrid] Q116: 4.83s gen, 0.017s retrieval
[full_hybrid] Q117: 6.71s gen, 0.015s retrieval
[full_hybrid] Q118: 4.77s gen, 0.014s retrieval
[full_hybrid] Q119: 4.25s gen, 0.014s retrieval
[full_hybrid] Q120: 4.60s gen, 0.024s retrieval
[full_hybrid] Q121: 5.09s gen, 0.018s retrieval
[full_hybrid] Q122: 4.33s gen, 0.019s retrieval
[full_hybrid] Q123: 5.78s gen, 0.015s retrieval
[full_hybrid] Q124: 4.10s gen, 0.016s retrieval
[full_hybrid] Q125: 4.46s gen, 0.016s retrieval
[full_hybrid] Q126: 4.59s gen, 0.014s retrieval
[full_hybrid] Q127: 4.48s gen, 0.020s retrieval
[full_hybrid] Q128: 3.90s gen, 0.015s retrieval
[full_hybrid] Q129: 3.86s gen, 0.017s retrieval
[full_hybrid] Q130: 5.53s gen, 0.020s retrieval
[full_hybrid] Q131: 3.89s gen, 0.015s retrieval
[full_hybrid] Q132: 4.07s gen, 0.021s retrieval
[full_hybrid] Q133: 4.13s gen, 0.021s retrieval
[full_hybrid] Q134: 4.25s gen, 0.016s retrieval
[full_hybrid] Q135: 4.03s gen, 0.018s retrieval
[full_hybrid] Q136: 4.09s gen, 0.016s retrieval
[full_hybrid] Q137: 4.13s gen, 0.018s retrieval
[full_hybrid] Q138: 4.67s gen, 0.015s retrieval
[full_hybrid] Q139: 4.14s gen, 0.016s retrieval
[full_hybrid] Q140: 4.87s gen, 0.017s retrieval
[full_hybrid] Q141: 3.98s gen, 0.018s retrieval
[full_hybrid] Q142: 4.01s gen, 0.016s retrieval
[full_hybrid] Q143: 4.83s gen, 0.019s retrieval
[full_hybrid] Q144: 7.68s gen, 0.018s retrieval
[full_hybrid] Q145: 8.74s gen, 0.017s retrieval
[full_hybrid] Q146: 4.24s gen, 0.015s retrieval
[full_hybrid] Q147: 6.45s gen, 0.017s retrieval
[full_hybrid] Q148: 3.99s gen, 0.015s retrieval
[full_hybrid] Q149: 4.83s gen, 0.019s retrieval
[full_hybrid] Q150: 6.65s gen, 0.016s retrieval
[full_hybrid] Q151: 5.15s gen, 0.021s retrieval
[full_hybrid] Q152: 5.04s gen, 0.020s retrieval
[full_hybrid] Q153: 5.01s gen, 0.026s retrieval
[full_hybrid] Q154: 5.67s gen, 0.022s retrieval
[full_hybrid] Q155: 5.05s gen, 0.022s retrieval
[full_hybrid] Q156: 4.89s gen, 0.023s retrieval
[full_hybrid] Q157: 5.53s gen, 0.022s retrieval
[full_hybrid] Q158: 4.72s gen, 0.019s retrieval
[full_hybrid] Q159: 5.08s gen, 0.021s retrieval
[full_hybrid] Q160: 5.06s gen, 0.019s retrieval
[full_hybrid] Q161: 4.64s gen, 0.019s retrieval
[full_hybrid] Q162: 4.97s gen, 0.025s retrieval
[full_hybrid] Q163: 4.94s gen, 0.021s retrieval
[full_hybrid] Q164: 4.87s gen, 0.020s retrieval
[full_hybrid] Q165: 5.15s gen, 0.019s retrieval
[full_hybrid] Q166: 5.35s gen, 0.023s retrieval
[full_hybrid] Q167: 5.01s gen, 0.021s retrieval
[full_hybrid] Q168: 5.27s gen, 0.022s retrieval
[full_hybrid] Q169: 5.35s gen, 0.020s retrieval
[full_hybrid] Q170: 5.24s gen, 0.023s retrieval
[full_hybrid] Q171: 5.34s gen, 0.019s retrieval
[full_hybrid] Q172: 5.11s gen, 0.021s retrieval
[full_hybrid] Q173: 5.89s gen, 0.022s retrieval
[full_hybrid] Q174: 5.18s gen, 0.027s retrieval
[full_hybrid] Q175: 5.38s gen, 0.023s retrieval
[full_hybrid] Q176: 6.34s gen, 0.021s retrieval
[full_hybrid] Q177: 5.06s gen, 0.018s retrieval
[full_hybrid] Q178: 5.94s gen, 0.019s retrieval
[full_hybrid] Q179: 5.38s gen, 0.018s retrieval
[full_hybrid] Q180: 6.51s gen, 0.024s retrieval
[full_hybrid] Q181: 3.83s gen, 0.015s retrieval
[full_hybrid] Q182: 5.19s gen, 0.023s retrieval
[full_hybrid] Q183: 4.49s gen, 0.022s retrieval
[full_hybrid] Q184: 5.22s gen, 0.021s retrieval
[full_hybrid] Q185: 4.88s gen, 0.017s retrieval
[full_hybrid] Q186: 3.62s gen, 0.015s retrieval
[full_hybrid] Q187: 3.75s gen, 0.016s retrieval
[full_hybrid] Q188: 4.21s gen, 0.022s retrieval
[full_hybrid] Q189: 5.75s gen, 0.024s retrieval
[full_hybrid] Q190: 5.36s gen, 0.019s retrieval
[full_hybrid] Q191: 4.50s gen, 0.020s retrieval
[full_hybrid] Q192: 3.64s gen, 0.014s retrieval
[full_hybrid] Q193: 4.94s gen, 0.018s retrieval
[full_hybrid] Q194: 4.26s gen, 0.015s retrieval
[full_hybrid] Q195: 4.11s gen, 0.016s retrieval
[full_hybrid] Q196: 4.72s gen, 0.019s retrieval
[full_hybrid] Q197: 4.57s gen, 0.015s retrieval
[full_hybrid] Q198: 5.24s gen, 0.021s retrieval
[full_hybrid] Q199: 5.26s gen, 0.017s retrieval
[full_hybrid] Q200: 4.38s gen, 0.015s retrieval
[bm25_only] Q001: 10.65s gen, 0.017s retrieval
[bm25_only] Q002: 6.40s gen, 0.034s retrieval
[bm25_only] Q003: 8.64s gen, 0.021s retrieval
[bm25_only] Q004: 4.67s gen, 0.030s retrieval
[bm25_only] Q005: 8.09s gen, 0.019s retrieval
[bm25_only] Q006: 5.09s gen, 0.017s retrieval
[bm25_only] Q007: 12.12s gen, 0.020s retrieval
[bm25_only] Q008: 4.05s gen, 0.027s retrieval
[bm25_only] Q009: 3.74s gen, 0.017s retrieval
[bm25_only] Q010: 4.66s gen, 0.025s retrieval
[bm25_only] Q011: 8.33s gen, 0.024s retrieval
[bm25_only] Q012: 4.84s gen, 0.022s retrieval
[bm25_only] Q013: 6.17s gen, 0.021s retrieval
[bm25_only] Q014: 8.97s gen, 0.022s retrieval
