.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --out results\abla ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[full_hybrid] Q096: 4.72s gen, 0.022s retrieval
[full_hybrid] Q097: 8.54s gen, 0.021s retrieval
[full_hybrid] Q098: 6.93s gen, 0.022s retrieval
[full_hybrid] Q099: 7.97s gen, 0.021s retrieval
[full_hybrid] Q100: 6.98s gen, 0.026s retrieval
[full_hybrid] Q101: 4.13s gen, 0.014s retrieval
[full_hybrid] Q102: 4.94s gen, 0.016s retrieval
[full_hybrid] Q103: 4.24s gen, 0.017s retrieval
[full_hybrid] Q104: 4.20s gen, 0.015s retrieval
[full_hybrid] Q105: 3.72s gen, 0.018s retrieval
[full_hybrid] Q106: 4.48s gen, 0.016s retrieval
[full_hybrid] Q107: 5.14s gen, 0.018s retrieval
[full_hybrid] Q108: 4.24s gen, 0.016s retrieval
[full_hybrid] Q109: 3.81s gen, 0.017s retrieval
[full_hybrid] Q110: 4.72s gen, 0.017s retrieval
[full_hybrid] Q111: 5.64s gen, 0.016s retrieval
[full_hybrid] Q112: 5.08s gen, 0.014s retrieval
[full_hybrid] Q113: 3.73s gen, 0.016s retrieval
[full_hybrid] Q114: 4.11s gen, 0.017s retrieval
[full_hybrid] Q115: 4.75s gen, 0.017s retrieval
[full_hybrid] Q116: 4.23s gen, 0.015s retrieval
[full_hybrid] Q117: 5.88s gen, 0.017s retrieval
[full_hybrid] Q118: 3.99s gen, 0.014s retrieval
[full_hybrid] Q119: 4.28s gen, 0.015s retrieval
[full_hybrid] Q120: 5.78s gen, 0.020s retrieval
[full_hybrid] Q121: 5.18s gen, 0.020s retrieval
[full_hybrid] Q122: 4.38s gen, 0.019s retrieval
[full_hybrid] Q123: 5.22s gen, 0.021s retrieval
[full_hybrid] Q124: 4.29s gen, 0.019s retrieval
[full_hybrid] Q125: 4.16s gen, 0.015s retrieval
[full_hybrid] Q126: 4.18s gen, 0.014s retrieval
[full_hybrid] Q127: 4.55s gen, 0.022s retrieval
[full_hybrid] Q128: 4.05s gen, 0.016s retrieval
[full_hybrid] Q129: 3.86s gen, 0.018s retrieval
[full_hybrid] Q130: 5.54s gen, 0.017s retrieval
[full_hybrid] Q131: 4.07s gen, 0.018s retrieval
[full_hybrid] Q132: 4.04s gen, 0.015s retrieval
[full_hybrid] Q133: 4.14s gen, 0.017s retrieval
[full_hybrid] Q134: 4.04s gen, 0.016s retrieval
[full_hybrid] Q135: 6.08s gen, 0.020s retrieval
[full_hybrid] Q136: 4.03s gen, 0.019s retrieval
[full_hybrid] Q137: 5.80s gen, 0.019s retrieval
[full_hybrid] Q138: 4.92s gen, 0.016s retrieval
[full_hybrid] Q139: 3.95s gen, 0.016s retrieval
[full_hybrid] Q140: 4.42s gen, 0.017s retrieval
[full_hybrid] Q141: 3.97s gen, 0.014s retrieval
[full_hybrid] Q142: 3.83s gen, 0.019s retrieval
[full_hybrid] Q143: 5.80s gen, 0.017s retrieval
[full_hybrid] Q144: 8.31s gen, 0.018s retrieval
[full_hybrid] Q145: 9.25s gen, 0.019s retrieval
[full_hybrid] Q146: 5.64s gen, 0.020s retrieval
[full_hybrid] Q147: 7.41s gen, 0.017s retrieval
[full_hybrid] Q148: 5.66s gen, 0.015s retrieval
[full_hybrid] Q149: 5.50s gen, 0.017s retrieval
[full_hybrid] Q150: 7.73s gen, 0.022s retrieval
[full_hybrid] Q151: 5.17s gen, 0.018s retrieval
[full_hybrid] Q152: 4.92s gen, 0.021s retrieval
[full_hybrid] Q153: 5.79s gen, 0.019s retrieval
[full_hybrid] Q154: 5.13s gen, 0.020s retrieval
[full_hybrid] Q155: 5.05s gen, 0.021s retrieval
[full_hybrid] Q156: 4.96s gen, 0.022s retrieval
[full_hybrid] Q157: 4.94s gen, 0.040s retrieval
[full_hybrid] Q158: 4.64s gen, 0.019s retrieval
[full_hybrid] Q159: 4.74s gen, 0.019s retrieval
[full_hybrid] Q160: 4.86s gen, 0.020s retrieval
[full_hybrid] Q161: 4.61s gen, 0.019s retrieval
[full_hybrid] Q162: 4.85s gen, 0.021s retrieval
[full_hybrid] Q163: 5.67s gen, 0.022s retrieval
[full_hybrid] Q164: 4.80s gen, 0.019s retrieval
[full_hybrid] Q165: 4.88s gen, 0.018s retrieval
[full_hybrid] Q166: 4.42s gen, 0.017s retrieval
