.\.venv\Scripts\python.exe : Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to 
enable higher rate limits and faster downloads.
At line:3 char:1
+ .\.venv\Scripts\python.exe scripts\run_ablation.py --queries data\tes ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Warning: You ar...ster downloads.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

[full_hybrid] BQ093: 11.15s gen, 0.022s retrieval
[full_hybrid] BQ094: 5.12s gen, 0.025s retrieval
[full_hybrid] BQ095: 5.37s gen, 0.026s retrieval
[full_hybrid] BQ096: 6.86s gen, 0.025s retrieval
[full_hybrid] BQ097: 6.54s gen, 0.031s retrieval
[full_hybrid] BQ098: 9.96s gen, 0.031s retrieval
[full_hybrid] BQ099: 6.48s gen, 0.023s retrieval
[full_hybrid] BQ100: 7.00s gen, 0.032s retrieval
[bm25_only] BQ001: 4.77s gen, 0.027s retrieval
[bm25_only] BQ002: 3.83s gen, 0.091s retrieval
[bm25_only] BQ003: 5.24s gen, 0.026s retrieval
[bm25_only] BQ004: 3.76s gen, 0.024s retrieval
[bm25_only] BQ005: 5.21s gen, 0.023s retrieval
[bm25_only] BQ006: 48.23s gen, 0.026s retrieval
[bm25_only] BQ007: 5.12s gen, 0.020s retrieval
[bm25_only] BQ008: 3.72s gen, 0.024s retrieval
[bm25_only] BQ009: 3.91s gen, 0.027s retrieval
[bm25_only] BQ010: 4.62s gen, 0.021s retrieval
[bm25_only] BQ011: 5.24s gen, 0.025s retrieval
[bm25_only] BQ012: 11.43s gen, 0.024s retrieval
[bm25_only] BQ013: 9.27s gen, 0.030s retrieval
[bm25_only] BQ014: 7.74s gen, 0.022s retrieval
[bm25_only] BQ015: 5.30s gen, 0.031s retrieval
[bm25_only] BQ016: 3.92s gen, 0.018s retrieval
[bm25_only] BQ017: 7.47s gen, 0.026s retrieval
[bm25_only] BQ018: 4.22s gen, 0.022s retrieval
[bm25_only] BQ019: 3.89s gen, 0.028s retrieval
[bm25_only] BQ020: 5.13s gen, 0.023s retrieval
