Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]Loading weights: 100%|##########| 103/103 [00:00<00:00, 11532.04it/s]
[vector_only] Q136: 3.94s gen, 0.017s retrieval
[vector_only] Q138: 4.72s gen, 0.017s retrieval
[vector_only] Q149: 4.77s gen, 0.020s retrieval
[vector_only] Q151: 4.90s gen, 0.022s retrieval
[vector_only] Q153: 4.91s gen, 0.019s retrieval
[vector_only] Q159: 4.89s gen, 0.024s retrieval
[vector_only] Q165: 4.84s gen, 0.023s retrieval
[vector_only] Q166: 4.55s gen, 0.023s retrieval
[vector_only] Q171: 4.32s gen, 0.022s retrieval
[vector_only] Q175: 4.55s gen, 0.018s retrieval
[vector_only] Q178: 4.59s gen, 0.021s retrieval
[vector_only] Q183: 4.30s gen, 0.022s retrieval
[vector_only] Q187: 5.87s gen, 0.014s retrieval
[no_retrieval] Q010: 7.26s gen, 0.000s retrieval
[no_retrieval] Q016: 14.19s gen, 0.000s retrieval
[no_retrieval] Q017: 8.04s gen, 0.000s retrieval
[no_retrieval] Q019: 11.47s gen, 0.000s retrieval
[no_retrieval] Q031: 20.58s gen, 0.000s retrieval
[no_retrieval] Q046: 10.99s gen, 0.000s retrieval
[no_retrieval] Q056: 7.81s gen, 0.000s retrieval
[no_retrieval] Q057: 7.90s gen, 0.000s retrieval
[no_retrieval] Q061: 10.04s gen, 0.000s retrieval
[no_retrieval] Q066: 12.42s gen, 0.000s retrieval
[no_retrieval] Q067: 13.35s gen, 0.000s retrieval
[no_retrieval] Q068: 9.27s gen, 0.000s retrieval
[no_retrieval] Q069: 10.39s gen, 0.000s retrieval
[no_retrieval] Q070: 9.68s gen, 0.000s retrieval
[no_retrieval] Q076: 10.89s gen, 0.000s retrieval
[no_retrieval] Q077: 8.13s gen, 0.000s retrieval
[no_retrieval] Q079: 16.59s gen, 0.000s retrieval
[no_retrieval] Q083: 8.84s gen, 0.000s retrieval
[no_retrieval] Q085: 12.41s gen, 0.000s retrieval
[no_retrieval] Q094: 6.39s gen, 0.000s retrieval
[no_retrieval] Q096: 8.36s gen, 0.000s retrieval
[no_retrieval] Q105: 11.11s gen, 0.000s retrieval
[no_retrieval] Q116: 6.13s gen, 0.000s retrieval
[no_retrieval] Q125: 7.47s gen, 0.000s retrieval
[no_retrieval] Q126: 7.78s gen, 0.000s retrieval
[no_retrieval] Q129: 18.31s gen, 0.000s retrieval
[no_retrieval] Q133: 9.55s gen, 0.000s retrieval
[no_retrieval] Q136: 7.67s gen, 0.000s retrieval
[no_retrieval] Q138: 6.41s gen, 0.000s retrieval
[no_retrieval] Q149: 9.18s gen, 0.000s retrieval
[no_retrieval] Q151: 6.57s gen, 0.000s retrieval
[no_retrieval] Q153: 6.13s gen, 0.000s retrieval
[no_retrieval] Q159: 6.28s gen, 0.000s retrieval
[no_retrieval] Q165: 6.25s gen, 0.000s retrieval
[no_retrieval] Q166: 7.54s gen, 0.000s retrieval
[no_retrieval] Q171: 7.53s gen, 0.000s retrieval
[no_retrieval] Q175: 8.30s gen, 0.000s retrieval
[no_retrieval] Q178: 7.54s gen, 0.000s retrieval
[no_retrieval] Q183: 9.27s gen, 0.000s retrieval
[no_retrieval] Q187: 8.19s gen, 0.000s retrieval
Wrote metadata to results\faithfulness_sample_baselines_roundO_metadata.json
Wrote 160 rows to results\faithfulness_sample_baselines_roundO.csv
