query_id,config,is_entity_heavy,recall@1,recall@3,recall@5,mrr,ndcg@5,ndcg@10
Q084,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q085,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q086,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q087,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q088,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q089,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q090,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q091,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q092,colbert_external,False,1.0,1.0,1.0,1.0,0.7653606369886217,0.9134015924715543
Q093,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q094,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q095,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q096,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q097,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q098,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q099,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q100,colbert_external,False,1.0,1.0,1.0,1.0,1.0,1.0
Q101,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q102,colbert_external,True,1.0,1.0,1.0,1.0,0.8539316501572937,0.9667147927059906
Q103,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q104,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q105,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q106,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q107,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q108,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q109,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q110,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q111,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q112,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q113,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q114,colbert_external,True,1.0,1.0,1.0,1.0,0.8687949224876582,0.9896062251871525
Q115,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q116,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q117,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q118,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q119,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q120,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q121,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q122,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q123,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q124,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q125,colbert_external,True,1.0,1.0,1.0,1.0,1.0,1.0
Q126,colbert_external,True,1.0,1.0,1.0,1.0,0.639945385422766,0.8449907638005173
